rule_id,plan_id,product_type,rule_category,parameter_name,parameter_value,value_type,unit,formula_template,effective_from,effective_to,dashboard_editable_flag,source_reference,parameter_value_source,numeric_value,text_value,boolean_value,value_parse_success_flag,active_at_valuation_flag,formula_supported_flag,statutory_locked_flag,effective_dashboard_editable_flag,parameter_value_display,base_parameter_value_display,override_applied_flag,override_source
R0001,GRAT_STD_01,Gratuity,Benefit,benefit_days,15,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,15,15.0,,,True,True,True,False,False,15,15,False,
R0002,GRAT_STD_01,Gratuity,Benefit,divisor_days,26,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,26,26.0,,,True,True,True,False,False,26,26,False,
R0003,GRAT_STD_01,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,eligible_gratuity_wages_monthly,,eligible_gratuity_wages_monthly,,True,True,True,False,False,eligible_gratuity_wages_monthly,eligible_gratuity_wages_monthly,False,
R0004,GRAT_STD_01,Gratuity,Eligibility,vesting_years_resignation,5,Numeric,years,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,5,5.0,,,True,True,True,False,False,5,5,False,
R0005,GRAT_STD_01,Gratuity,Eligibility,death_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0006,GRAT_STD_01,Gratuity,Eligibility,disability_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0007,GRAT_STD_01,Gratuity,Eligibility,part_year_rounding_threshold_months,6,Numeric,months,qualifying_service_rounding,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,6,6.0,,,True,True,True,False,False,6,6,False,
R0008,GRAT_STD_01,Gratuity,Financial,salary_escalation_rate,0.06,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic valuation assumption; dashboard scenario input,0.06,0.06,,,True,True,True,False,True,0.06,0.06,False,
R0009,GRAT_STD_01,Gratuity,Financial,discount_rate,0.07,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic valuation assumption; governed under applicable actuarial/accounting basis,0.07,0.07,,,True,True,True,False,True,0.07,0.07,False,
R0010,GRAT_STD_01,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Text,model,gompertz_makeham,2026-09-01,,No,Book Chapter 7; illustrative model family,Gompertz-Makeham,,Gompertz-Makeham,,True,True,True,False,False,Gompertz-Makeham,Gompertz-Makeham,False,
R0011,GRAT_STD_01,Gratuity,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,0.0002,0.0002,,,True,True,True,False,True,0.0002,0.0002,False,
R0012,GRAT_STD_01,Gratuity,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1e-05,1e-05,,,True,True,True,False,True,1e-05,1e-05,False,
R0013,GRAT_STD_01,Gratuity,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter,1.1,1.1,,,True,True,True,False,True,1.1,1.1,False,
R0014,GRAT_STD_01,Gratuity,Demographic,withdrawal_model,Weibull,Text,model,weibull_withdrawal,2026-09-01,,No,Book Chapter 8; illustrative model family,Weibull,,Weibull,,True,True,True,False,False,Weibull,Weibull,False,
R0015,GRAT_STD_01,Gratuity,Demographic,weibull_eta,15.0,Numeric,years,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,15.0,15.0,,,True,True,True,False,True,15,15,False,
R0016,GRAT_STD_01,Gratuity,Demographic,weibull_k,0.75,Numeric,shape,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter,0.75,0.75,,,True,True,True,False,True,0.75,0.75,False,
R0017,GRAT_STD_01,Gratuity,Demographic,disability_annual_q,0.0015,Numeric,probability,bernoulli_disability,2026-09-01,,Yes,Synthetic model parameter,0.0015,0.0015,,,True,True,True,False,True,0.0015,0.0015,False,
R0018,GRAT_STD_01,Gratuity,Demographic,early_retirement_model,Logistic,Text,model,logistic_early_retirement,2026-09-01,,No,Book Chapter 10; illustrative model family,Logistic,,Logistic,,True,True,True,False,False,Logistic,Logistic,False,
R0019,GRAT_ENH_02,Gratuity,Benefit,benefit_days,20,Numeric,days,gratuity_days_over_divisor,2026-09-01,,Yes,Synthetic enhanced employer scheme; statutory minimum remains floor,20,20.0,,,True,True,True,False,True,20,20,False,
R0020,GRAT_ENH_02,Gratuity,Benefit,divisor_days,26,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,26,26.0,,,True,True,True,False,False,26,26,False,
R0021,GRAT_ENH_02,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,eligible_gratuity_wages_monthly,,eligible_gratuity_wages_monthly,,True,True,True,False,False,eligible_gratuity_wages_monthly,eligible_gratuity_wages_monthly,False,
R0022,GRAT_ENH_02,Gratuity,Eligibility,vesting_years_resignation,5,Numeric,years,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,5,5.0,,,True,True,True,False,False,5,5,False,
R0023,GRAT_ENH_02,Gratuity,Eligibility,death_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0024,GRAT_ENH_02,Gratuity,Eligibility,disability_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,True,,,True,True,True,True,False,False,True,True,False,
R0025,GRAT_ENH_02,Gratuity,Eligibility,part_year_rounding_threshold_months,6,Numeric,months,qualifying_service_rounding,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074,6,6.0,,,True,True,True,False,False,6,6,False,
R0026,GRAT_ENH_02,Gratuity,Financial,salary_escalation_rate,0.062,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic valuation assumption; dashboard scenario input,0.062,0.062,,,True,True,True,False,True,0.062,0.062,False,
R0027,GRAT_ENH_02,Gratuity,Financial,discount_rate,0.07,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic valuation assumption; governed under applicable actuarial/accounting basis,0.07,0.07,,,True,True,True,False,True,0.07,0.07,False,
