employee_id,plan_id,attained_age_years,retirement_age,years_to_retirement,contribution_basis_rule,salary_basis_source,annual_contribution_basis,employer_contribution_rate,employee_contribution_rate,current_annual_employer_contribution,current_annual_employee_contribution,current_annual_total_contribution,contribution_frequency,expected_investment_return,annual_charges_rate,net_investment_return,dc_salary_escalation_rate,opening_member_corpus,opening_member_corpus_available,projected_opening_corpus_at_retirement,projected_future_contribution_corpus,projected_member_corpus_from_available_data,model_status,review_flag
E00002,SUP_DC_02,39.8631074606434,60.0,20.1368925393566,pensionable_salary_annual,pensionable_salary_annual,1806000.0,0.1,0.05,180600.0,90300.0,270900.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,19857429.66539951,19857429.66539951,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00004,SUP_DC_01,30.143737166324435,60.0,29.856262833675565,basic_salary_monthly,basic_salary_monthly,790800.0,0.15,0.0,118620.0,0.0,118620.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,21864684.55596009,21864684.55596009,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00007,SUP_DC_01,50.4394250513347,60.0,9.560574948665298,basic_salary_monthly,basic_salary_monthly,628800.0,0.15,0.0,94320.0,0.0,94320.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,1605205.168922899,1605205.168922899,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00009,SUP_DC_01,30.401095140314855,60.0,29.598904859685145,basic_salary_monthly,basic_salary_monthly,429600.0,0.15,0.0,64440.0,0.0,64440.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,11595075.701838361,11595075.701838361,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00011,SUP_DC_02,44.01916495550992,60.0,15.980835044490078,pensionable_salary_annual,pensionable_salary_annual,809000.0,0.1,0.05,80900.0,40450.0,121350.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,5395835.600967668,5395835.600967668,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00012,SUP_DC_02,24.139630390143736,60.0,35.860369609856264,pensionable_salary_annual,pensionable_salary_annual,712000.0,0.1,0.05,71200.0,35600.0,106800.0,Monthly,0.067,0.004,0.06273200000000001,0.07,,False,0.0,38429083.81908818,38429083.81908818,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00015,SUP_DC_01,38.620123203285424,60.0,21.379876796714576,basic_salary_monthly,basic_salary_monthly,1678800.0,0.15,0.0,251820.0,0.0,251820.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,19789595.848564964,19789595.848564964,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00018,SUP_DC_01,52.63518138261465,60.0,7.364818617385353,basic_salary_monthly,basic_salary_monthly,2487600.0,0.15,0.0,373140.0,0.0,373140.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,4287943.566838251,4287943.566838251,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00019,SUP_DC_01,41.52224503764545,60.0,18.477754962354553,basic_salary_monthly,basic_salary_monthly,1334400.0,0.15,0.0,200160.0,0.0,200160.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,11375850.103411548,11375850.103411548,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
E00022,SUP_DC_01,51.79739904175222,60.0,8.202600958247778,basic_salary_monthly,basic_salary_monthly,2828400.0,0.15,0.0,424260.0,0.0,424260.0,Monthly,0.065,0.004,0.060740000000000016,0.065,,False,0.0,5713950.822179099,5713950.822179099,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,True
