employee_id,plan_id,model_input_quality_status,grade,age_band,service_band,product_type,plan_assignment_method,active_rule_count,parameter_count,editable_parameter_count,locked_parameter_count,formula_template_count,formula_templates,statutory_locked_plan_flag,rule_engine_version,plan_assignment_valid_flag
E00002,GRAT_STD_01,Observed_or_Validated,E5,35-44,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00003,GRAT_STD_01,Observed_or_Validated,E5,55-59,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00004,GRAT_STD_01,Observed_or_Validated,E4,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00005,GRAT_STD_01,Observed_or_Validated,E3,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00006,GRAT_STD_01,Observed_or_Validated,E4,35-44,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00009,GRAT_STD_01,Observed_or_Validated,E2,25-34,5-9,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00010,GRAT_STD_01,Observed_or_Validated,E2,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00011,GRAT_ENH_02,Observed_or_Validated,E3,35-44,5-9,Gratuity,Employee gratuity_plan_id,18,18,9,9,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00012,GRAT_STD_01,Observed_or_Validated,E4,<25,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00013,GRAT_STD_01,Observed_or_Validated,E3,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00014,GRAT_STD_01,Observed_or_Validated,E5,35-44,5-9,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00015,GRAT_STD_01,Reconstructed_or_Imputed,E6,35-44,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00016,GRAT_STD_01,Observed_or_Validated,E4,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00017,GRAT_STD_01,Observed_or_Validated,E2,25-34,1-4,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00018,GRAT_EXEC_03,Observed_or_Validated,E7,45-54,10-19,Gratuity,Employee gratuity_plan_id,18,18,9,9,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00019,GRAT_STD_01,Observed_or_Validated,E5,35-44,5-9,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00021,GRAT_STD_01,Observed_or_Validated,E4,35-44,5-9,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
E00022,GRAT_STD_01,Observed_or_Validated,E7,45-54,5-9,Gratuity,Employee gratuity_plan_id,18,18,8,10,9,bernoulli_disability | gompertz_makeham | gratuity_days_over_divisor | gratuity_eligibility | logistic_early_retirement | present_value_discounting | qualifying_service_rounding | salary_projection | weibull_withdrawal,False,P05-C01,True
