employee_id,date_of_birth,gender,marital_status,spouse_date_of_birth,spouse_eligible_flag,date_of_joining,employment_status,employment_type,grade,department,occupation_class,work_location,work_environment,exit_date,exit_reason,basic_salary_monthly,dearness_allowance_monthly,eligible_gratuity_wages_monthly,pensionable_salary_annual,gross_compensation_annual,salary_currency,retirement_age,superannuation_join_date,gratuity_member_flag,gratuity_plan_id,superannuation_member_flag,superannuation_plan_id,superannuation_scheme_type,dc_current_corpus,pf_member_flag,edli_eligible_flag,pf_current_balance,average_progressive_balance,edli_continuous_service_months,gti_member_flag,gti_plan_id,gti_cover_basis,gti_sum_assured,source_system,duplicate_resolved_flag,duplicate_resolution_type,date_of_birth_imputed_flag,date_of_joining_reconstructed_flag,exit_date_reconstructed_flag,employment_status_reconciled_flag,exit_reason_reconciled_flag,date_of_birth_imputation_method,date_of_joining_reconstruction_method,basic_salary_reconstructed_flag,gratuity_wage_reconstructed_flag,pensionable_salary_reconstructed_flag,gross_compensation_reconstructed_flag,gratuity_plan_id_imputed_flag,superannuation_plan_id_imputed_flag,gti_plan_id_reconstructed_flag,edli_eligibility_reconciled_flag,cleaning_any_change_flag,cleaning_review_flag,feature_valuation_date,feature_version,active_at_valuation_flag,attained_age_years,attained_age_last_birthday,service_measurement_date,completed_service_years,completed_service_full_years,completed_service_fraction,retirement_age_numeric,expected_retirement_date,remaining_service_years_raw,remaining_service_years,years_to_expected_retirement,basic_salary_annual,dearness_allowance_annual,gratuity_eligible_wages_annual,da_to_basic_ratio,pensionable_to_gratuity_wage_ratio,gross_to_basic_ratio,age_band,service_band,salary_band,active_gratuity_member_flag,active_superannuation_member_flag,active_db_pension_member_flag,active_dc_superannuation_member_flag,active_edli_member_flag,active_gti_member_flag,model_input_quality_status,plan_id,gratuity_salary_basis_column,current_gratuity_salary_basis,benefit_days,divisor_days,vesting_years_resignation,part_year_rounding_threshold_months,salary_escalation_rate,discount_rate,death_vesting_waiver,disability_vesting_waiver,gratuity_benefit_rate,current_qualifying_service_years,current_withdrawal_eligibility_flag,current_death_eligibility_flag,current_disability_eligibility_flag,current_gratuity_if_withdrawal_now,current_gratuity_if_death_now,current_gratuity_if_disability_now,gratuity_engine_version,expected_retirement_date_p06,projection_horizon_years,probability_reach_retirement_active,probability_mass_total,projection_status,retirement_time_years,projected_salary_at_retirement,exact_service_at_retirement,qualifying_service_at_retirement,retirement_full_gratuity,retirement_puc_fraction,retirement_puc_benefit,retirement_expected_puc_benefit,retirement_discount_factor,pv_gratuity_retirement,pv_one_service_year_retirement,retirement_eligibility_flag,valuation_included_flag
E00002,1986-10-21,Male,Married,1996-05-12,Yes,2022-05-09,Active,Permanent,E5,Finance,Office,Mumbai,Office,,,150500.0,5600.0,156100.0,1806000.0,2570000.0,INR,60,2023-02-13,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,971000.0,Yes,Yes,247000.0,231000.0,51,Yes,GTI_GRADE_03,Grade Based,4000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,39.8631074606434,39,2026-09-01,4.314852840520191,4,0.31485284052019136,60,2046-10-21,20.1368925393566,20.1368925393566,20.136892539356605,1806000.0,67200.0,1873200.0,0.037209302325581395,0.9641255605381166,1.4230343300110742,35-44,1-4,20L-40L,True,True,False,True,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,156100.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,4.0,False,True,True,0.0,360230.7692307692,360230.7692307692,P07-C01,2046-10-21,20.1368925393566,0.3159904099582984,1.0,PROJECTED,20.1368925393566,504643.1615920475,24.451745379876794,24.0,6987366.8528129645,0.17978553502167463,1256227.4880256937,396955.83894212235,0.2560365852257461,101635.21748816226,23554.73552509598,True,True
E00003,1968-09-23,Male,Married,1975-12-15,Yes,2025-02-09,Active,Fixed-Term,E5,Corporate,Office,Hyderabad,Office,,,105800.0,3300.0,109100.0,1309000.0,1602000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,97000.0,91000.0,18,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,57.93839835728953,57,2026-09-01,1.5578370978781657,1,0.5578370978781657,60,2028-09-23,2.061601642710471,2.061601642710471,2.0616016427104724,1269600.0,39600.0,1309200.0,0.031190926275992438,0.9998472349526428,1.2618147448015122,55-59,1-4,10L-20L,True,False,False,False,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,109100.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,2.0,False,True,True,0.0,125884.61538461538,125884.61538461538,P07-C01,2028-09-23,2.061601642710471,0.8398180001941676,1.0,PROJECTED,2.061601642710471,123025.56379956278,3.619438740588637,4.0,0.0,0.3894592744695414,0.0,0.0,0.8698059129043301,0.0,0.0,False,True
E00004,1996-07-10,Male,Single,,No,2022-12-25,Active,Permanent,E4,Customer Service,Laboratory,Chennai,Laboratory,,,65900.0,2700.0,68600.0,823000.0,1168000.0,INR,60,2023-02-10,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,466000.0,Yes,Yes,242000.0,224000.0,44,Yes,GTI_SAL_02,Salary Multiple,3500000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.143737166324435,30,2026-09-01,3.685147159479808,3,0.6851471594798082,60,2056-07-10,29.856262833675565,29.856262833675565,29.856262833675565,790800.0,32400.0,823200.0,0.0409711684370258,0.999757045675413,1.4769853313100658,25-34,1-4,10L-20L,True,True,False,True,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,68600.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,4.0,False,True,True,0.0,158307.69230769228,158307.69230769228,P07-C01,2056-07-10,29.856262833675565,0.19735816196881895,0.9999999999999999,PROJECTED,29.856262833675565,390717.3352167201,33.541409993155376,34.0,7664070.806174125,0.10838668116117083,830683.1988654323,163942.10930646062,0.1326509028976223,21747.06882244269,5901.275547843382,True,True
E00005,1996-06-11,Male,Single,,No,2022-11-21,Active,Permanent,E3,Sales,Field,Ahmedabad,Field,,,52000.0,8500.0,60500.0,624000.0,890000.0,INR,60,,Yes,GRAT_STD_01,No,,,,No,No,,,0,Yes,GTI_GRADE_03,Grade Based,2500000.0,Legacy_HR,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.223134839151268,30,2026-09-01,3.7782340862423,3,0.7782340862422998,60,2056-06-11,29.776865160848732,29.776865160848732,29.776865160848732,624000.0,102000.0,726000.0,0.16346153846153846,0.859504132231405,1.4262820512820513,25-34,1-4,5L-10L,True,False,False,False,False,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,60500.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,4.0,False,True,True,0.0,139615.3846153846,139615.3846153846,P07-C01,2056-06-11,29.776865160848732,0.19862378850649803,0.9999999999999996,PROJECTED,29.776865160848732,342992.5700653633,33.555099247091036,34.0,6727931.182051357,0.11112453194830293,747638.2035858495,148498.7324284139,0.1333654129214681,19804.594768630028,5241.759593653707,True,True
E00006,1990-03-08,Male,Single,,No,2024-08-28,Active,Permanent,E4,Manufacturing,Management,Kolkata,Office,,,61400.0,300.0,61700.0,737000.0,1015000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,98000.0,94000.0,24,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,36.48459958932238,36,2026-09-01,2.0095824777549622,2,0.009582477754962238,60,2050-03-08,23.51540041067762,23.51540041067762,23.515400410677618,736800.0,3600.0,740400.0,0.004885993485342019,0.995407887628309,1.3775787187839306,35-44,1-4,10L-20L,True,False,False,False,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,61700.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,2.0,False,True,True,0.0,71192.30769230769,71192.30769230769,P07-C01,2050-03-08,23.51540041067762,0.25018707728523454,1.0,PROJECTED,23.51540041067762,242863.76224964618,25.524982888432582,26.0,3642956.4337446927,0.07729163375980624,281570.05447992467,70445.18898137662,0.20371767085376796,14350.929822139564,7141.249478932527,True,True
E00009,1996-04-07,Male,Single,,No,2020-04-02,Active,Permanent,E2,Research,Office,Pune,Office,,,35800.0,1400.0,37200.0,446000.0,628000.0,INR,60,2020-08-25,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,414000.0,Yes,Yes,412000.0,343000.0,76,Yes,GTI_GRADE_03,Grade Based,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.401095140314855,30,2026-09-01,6.414784394250513,6,0.41478439425051317,60,2056-04-07,29.598904859685145,29.598904859685145,29.598904859685145,429600.0,16800.0,446400.0,0.03910614525139665,0.9991039426523297,1.4618249534450651,25-34,5-9,5L-10L,True,True,False,True,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,37200.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,6.0,True,True,True,128769.23076923077,128769.23076923077,128769.23076923077,P07-C01,2056-04-07,29.598904859685145,0.21415428770821263,0.9999999999999999,PROJECTED,29.598904859685145,208722.29348847352,36.01368925393566,36.0,4335001.480145219,0.1781884553958476,772447.2178857897,165422.8837385218,0.13498091254287264,22328.931802499203,3480.854605575259,True,True
E00010,1997-03-19,Male,Single,,No,2025-04-01,Active,Permanent,E2,Manufacturing,Factory,Hyderabad,Hazardous,,,33900.0,3200.0,37100.0,445000.0,588000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,88000.0,75000.0,17,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,29.453798767967147,29,2026-09-01,1.4182067077344285,1,0.4182067077344285,60,2057-03-19,30.546201232032853,30.546201232032853,30.546201232032853,406800.0,38400.0,445200.0,0.0943952802359882,0.9995507637017071,1.4454277286135693,25-34,1-4,5L-10L,True,False,False,False,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,37100.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,1.0,False,True,True,0.0,21403.846153846152,21403.846153846152,P07-C01,2057-03-19,30.546201232032853,0.17552411810474824,1.0,PROJECTED,30.546201232032853,219974.30910526897,31.96440793976728,32.0,4061064.168097273,0.04431895961670089,179982.13886673402,31591.206199189823,0.12660102266671866,3999.4790120926136,2820.0959636425237,True,True
E00011,1982-08-25,Female,Married,1979-07-30,Yes,2020-09-03,Active,Permanent,E3,Operations,Office,Bengaluru,Office,,,65200.0,2200.0,67400.0,809000.0,1091000.0,INR,60,2021-08-09,Yes,GRAT_ENH_02,Yes,SUP_DC_02,DC,677000.0,Yes,Yes,312000.0,271000.0,71,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,44.01916495550992,44,2026-09-01,5.993155373032169,5,0.9931553730321694,60,2042-08-25,15.980835044490078,15.980835044490078,15.980835044490075,782400.0,26400.0,808800.0,0.03374233128834356,1.0002472799208704,1.3944274028629857,35-44,5-9,10L-20L,True,True,False,True,True,True,Observed_or_Validated,GRAT_ENH_02,eligible_gratuity_wages_monthly,67400.0,20.0,26.0,5.0,6.0,0.062,0.07,True,True,0.7692307692307693,6.0,True,True,True,311076.9230769231,311076.9230769231,311076.9230769231,P07-C01,2042-08-25,15.980835044490078,0.4014002798884414,1.0,PROJECTED,15.980835044490078,176259.07606655767,21.97399041752225,22.0,2982845.902664822,0.2724161533196441,812575.4067492123,326167.99569959793,0.33917411136862985,110627.7400982982,18459.014194108462,True,True
E00012,2002-07-12,Male,Married,2008-04-02,Yes,2022-09-07,Active,Permanent,E4,Sales,Field,Chennai,Field,,,50600.0,8700.0,59300.0,712000.0,941000.0,INR,60,2023-02-10,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,380000.0,Yes,Yes,231000.0,206000.0,47,Yes,GTI_FLAT_01,Flat,2000000.0,Legacy_HR,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,24.139630390143736,24,2026-09-01,3.9835728952772076,3,0.9835728952772076,60,2062-07-12,35.860369609856264,35.860369609856264,35.860369609856264,607200.0,104400.0,711600.0,0.17193675889328064,1.0005621135469365,1.5497364953886692,<25,1-4,5L-10L,True,True,False,True,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,59300.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,4.0,False,True,True,0.0,136846.15384615384,136846.15384615384,P07-C01,2062-07-12,35.860369609856264,0.15280051970575173,1.0,PROJECTED,35.860369609856264,479217.17545442603,39.84394250513347,40.0,11058857.895102138,0.09958932238193019,1101344.1640912807,168285.9606480444,0.08836634084000874,14870.814557213389,3733.034375960269,True,True
E00013,1992-10-20,Female,Married,1994-02-22,Yes,2022-08-17,Active,Contract,E3,Research,Field,Pune,Field,,,42700.0,5200.0,47900.0,512000.0,722000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,217000.0,182000.0,48,Yes,GTI_GRADE_03,Grade Based,2500000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,33.86447638603696,33,2026-09-01,4.041067761806982,4,0.041067761806981906,60,2052-10-20,26.135523613963038,26.135523613963038,26.135523613963038,512400.0,62400.0,574800.0,0.12177985948477751,0.8907446068197634,1.409055425448868,25-34,1-4,5L-10L,True,False,False,False,True,True,Observed_or_Validated,GRAT_STD_01,eligible_gratuity_wages_monthly,47900.0,15.0,26.0,5.0,6.0,0.06,0.07,True,True,0.5769230769230769,4.0,False,True,True,0.0,110538.46153846153,110538.46153846153,P07-C01,2052-10-20,26.135523613963038,0.23626707196143146,1.0000000000000002,PROJECTED,26.135523613963038,219643.0939235907,30.17659137577002,30.0,3801515.0871390696,0.1347022587268994,512072.66882201843,120985.91009405408,0.17062378996023395,20643.074512035633,5108.321792358411,True,True
