employee_id,date_of_birth,gender,marital_status,spouse_date_of_birth,spouse_eligible_flag,date_of_joining,employment_status,employment_type,grade,department,occupation_class,work_location,work_environment,exit_date,exit_reason,basic_salary_monthly,dearness_allowance_monthly,eligible_gratuity_wages_monthly,pensionable_salary_annual,gross_compensation_annual,salary_currency,retirement_age,superannuation_join_date,gratuity_member_flag,gratuity_plan_id,superannuation_member_flag,superannuation_plan_id,superannuation_scheme_type,dc_current_corpus,pf_member_flag,edli_eligible_flag,pf_current_balance,average_progressive_balance,edli_continuous_service_months,gti_member_flag,gti_plan_id,gti_cover_basis,gti_sum_assured,source_system,duplicate_resolved_flag,duplicate_resolution_type,date_of_birth_imputed_flag,date_of_joining_reconstructed_flag,exit_date_reconstructed_flag,employment_status_reconciled_flag,exit_reason_reconciled_flag,date_of_birth_imputation_method,date_of_joining_reconstruction_method,basic_salary_reconstructed_flag,gratuity_wage_reconstructed_flag,pensionable_salary_reconstructed_flag,gross_compensation_reconstructed_flag,gratuity_plan_id_imputed_flag,superannuation_plan_id_imputed_flag,gti_plan_id_reconstructed_flag,edli_eligibility_reconciled_flag,cleaning_any_change_flag,cleaning_review_flag,feature_valuation_date,feature_version,active_at_valuation_flag,attained_age_years,attained_age_last_birthday,service_measurement_date,completed_service_years,completed_service_full_years,completed_service_fraction,retirement_age_numeric,expected_retirement_date,remaining_service_years_raw,remaining_service_years,years_to_expected_retirement,basic_salary_annual,dearness_allowance_annual,gratuity_eligible_wages_annual,da_to_basic_ratio,pensionable_to_gratuity_wage_ratio,gross_to_basic_ratio,age_band,service_band,salary_band,active_gratuity_member_flag,active_superannuation_member_flag,active_db_pension_member_flag,active_dc_superannuation_member_flag,active_edli_member_flag,active_gti_member_flag,model_input_quality_status,gratuity_eligible_wages_monthly,edli_eligible_wages_monthly,plan_id,q_death_1y,gti_mortality_source,_pipeline06_q_death,cover_basis,salary_basis_column,salary_basis_amount,sum_assured,free_cover_limit,gross_premium_loading_rate,mortality_A,mortality_B,mortality_c,gti_cover_status,current_quote_exposure_years,fresh_expected_death_count,fresh_expected_claim_cost,underwriting_referral_flag,cover_above_free_cover_limit,fresh_expected_claim_rate_per_1000,pipeline_09_version,credibility_Z,actual_to_expected_count,experience_factor,adjusted_expected_claim_cost,gross_premium_denominator,gross_model_premium,gross_premium_rate_per_1000
E00002,1986-10-21,Male,Married,1996-05-12,Yes,2022-05-09,Active,Permanent,E5,Finance,Office,Mumbai,Office,,,150500.0,5600.0,156100.0,1806000.0,2570000.0,INR,60,2023-02-13,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,971000.0,Yes,Yes,247000.0,231000.0,51,Yes,GTI_GRADE_03,Grade Based,4000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,39.8631074606434,39,2026-09-01,4.314852840520191,4,0.31485284052019136,60,2046-10-21,20.1368925393566,20.1368925393566,20.136892539356605,1806000.0,67200.0,1873200.0,0.037209302325581395,0.9641255605381166,1.4230343300110742,35-44,1-4,20L-40L,True,True,False,True,True,True,Observed_or_Validated,149600.0,149600.0,GTI_GRADE_03,0.0006684838191292939,PIPELINE_06_GTI_MORTALITY,0.0006684838191292939,Grade Based,NOT_APPLICABLE,,4000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0006684838191292939,2673.9352765171757,False,0.0,0.6684838191292939,P09-C01,0.007115704583062382,462.6947243072019,4.285283265728479,11458.570094100107,0.8,14323.212617625133,3.5808031544062833
E00003,1968-09-23,Male,Married,1975-12-15,Yes,2025-02-09,Active,Fixed-Term,E5,Corporate,Office,Hyderabad,Office,,,105800.0,3300.0,109100.0,1309000.0,1602000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,97000.0,91000.0,18,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,57.93839835728953,57,2026-09-01,1.5578370978781657,1,0.5578370978781657,60,2028-09-23,2.061601642710471,2.061601642710471,2.0616016427104724,1269600.0,39600.0,1309200.0,0.031190926275992438,0.9998472349526428,1.2618147448015122,55-59,1-4,10L-20L,True,False,False,False,True,True,Observed_or_Validated,104900.0,104900.0,GTI_FLAT_01,0.002820756002775553,PIPELINE_06_GTI_MORTALITY,0.002820756002775553,Flat,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.002820756002775553,5641.512005551106,False,0.0,2.820756002775553,P09-C01,0.007968527036337707,532.9360621490785,5.238746892837947,29554.45348998883,0.8,36943.066862486034,18.471533431243014
E00004,1996-07-10,Male,Single,,No,2022-12-25,Active,Permanent,E4,Customer Service,Laboratory,Chennai,Laboratory,,,65900.0,2700.0,68600.0,823000.0,1168000.0,INR,60,2023-02-10,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,466000.0,Yes,Yes,242000.0,224000.0,44,Yes,GTI_SAL_02,Salary Multiple,3500000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.143737166324435,30,2026-09-01,3.685147159479808,3,0.6851471594798082,60,2056-07-10,29.856262833675565,29.856262833675565,29.856262833675565,790800.0,32400.0,823200.0,0.0409711684370258,0.999757045675413,1.4769853313100658,25-34,1-4,10L-20L,True,True,False,True,True,True,Observed_or_Validated,66800.0,66800.0,GTI_SAL_02,0.00038553120295323657,PIPELINE_06_GTI_MORTALITY,0.00038553120295323657,Salary Multiple,gross_compensation_annual,1168000.0,3504000.0,7500000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.00038553120295323657,1350.901335148141,False,0.0,0.38553120295323656,P09-C01,0.01016684774255925,705.1365870942258,8.158849470952305,11021.800643582172,0.8,13777.250804477713,3.931863814063274
E00005,1996-06-11,Male,Single,,No,2022-11-21,Active,Permanent,E3,Sales,Field,Ahmedabad,Field,,,52000.0,8500.0,60500.0,624000.0,890000.0,INR,60,,Yes,GRAT_STD_01,No,,,,No,No,,,0,Yes,GTI_GRADE_03,Grade Based,2500000.0,Legacy_HR,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.223134839151268,30,2026-09-01,3.7782340862423,3,0.7782340862422998,60,2056-06-11,29.776865160848732,29.776865160848732,29.776865160848732,624000.0,102000.0,726000.0,0.16346153846153846,0.859504132231405,1.4262820512820513,25-34,1-4,5L-10L,True,False,False,False,False,True,Observed_or_Validated,58800.0,58800.0,GTI_GRADE_03,0.0003869405388066532,PIPELINE_06_GTI_MORTALITY,0.0003869405388066532,Grade Based,NOT_APPLICABLE,,2500000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0003869405388066532,967.351347016633,False,0.0,0.3869405388066532,P09-C01,0.007115704583062382,462.6947243072019,4.285283265728479,4145.37453945028,0.8,5181.71817431285,2.0726872697251397
E00006,1990-03-08,Male,Single,,No,2024-08-28,Active,Permanent,E4,Manufacturing,Management,Kolkata,Office,,,61400.0,300.0,61700.0,737000.0,1015000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,98000.0,94000.0,24,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,36.48459958932238,36,2026-09-01,2.0095824777549622,2,0.009582477754962238,60,2050-03-08,23.51540041067762,23.51540041067762,23.515400410677618,736800.0,3600.0,740400.0,0.004885993485342019,0.995407887628309,1.3775787187839306,35-44,1-4,10L-20L,True,False,False,False,True,True,Observed_or_Validated,59500.0,59500.0,GTI_FLAT_01,0.0005395236725449261,PIPELINE_06_GTI_MORTALITY,0.0005395236725449261,Flat,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0005395236725449261,1079.0473450898521,False,0.0,0.5395236725449261,P09-C01,0.007968527036337707,532.9360621490785,5.238746892837947,5652.855926314498,0.8,7066.069907893122,3.533034953946561
E00009,1996-04-07,Male,Single,,No,2020-04-02,Active,Permanent,E2,Research,Office,Pune,Office,,,35800.0,1400.0,37200.0,446000.0,628000.0,INR,60,2020-08-25,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,414000.0,Yes,Yes,412000.0,343000.0,76,Yes,GTI_GRADE_03,Grade Based,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,30.401095140314855,30,2026-09-01,6.414784394250513,6,0.41478439425051317,60,2056-04-07,29.598904859685145,29.598904859685145,29.598904859685145,429600.0,16800.0,446400.0,0.03910614525139665,0.9991039426523297,1.4618249534450651,25-34,5-9,5L-10L,True,True,False,True,True,True,Observed_or_Validated,36500.0,36500.0,GTI_GRADE_03,0.00039013839843947233,PIPELINE_06_GTI_MORTALITY,0.00039013839843947233,Grade Based,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.00039013839843947233,780.2767968789447,False,0.0,0.39013839843947234,P09-C01,0.007115704583062382,462.6947243072019,4.285283265728479,3343.707100301561,0.8,4179.6338753769505,2.0898169376884757
E00010,1997-03-19,Male,Single,,No,2025-04-01,Active,Permanent,E2,Manufacturing,Factory,Hyderabad,Hazardous,,,33900.0,3200.0,37100.0,445000.0,588000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,88000.0,75000.0,17,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,29.453798767967147,29,2026-09-01,1.4182067077344285,1,0.4182067077344285,60,2057-03-19,30.546201232032853,30.546201232032853,30.546201232032853,406800.0,38400.0,445200.0,0.0943952802359882,0.9995507637017071,1.4454277286135693,25-34,1-4,5L-10L,True,False,False,False,True,True,Observed_or_Validated,36600.0,36600.0,GTI_FLAT_01,0.0003737232481967985,PIPELINE_06_GTI_MORTALITY,0.0003737232481967985,Flat,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0003737232481967985,747.446496393597,False,0.0,0.37372324819679853,P09-C01,0.007968527036337707,532.9360621490785,5.238746892837947,3915.683010544566,0.8,4894.603763180708,2.447301881590354
E00011,1982-08-25,Female,Married,1979-07-30,Yes,2020-09-03,Active,Permanent,E3,Operations,Office,Bengaluru,Office,,,65200.0,2200.0,67400.0,809000.0,1091000.0,INR,60,2021-08-09,Yes,GRAT_ENH_02,Yes,SUP_DC_02,DC,677000.0,Yes,Yes,312000.0,271000.0,71,Yes,GTI_FLAT_01,Flat,2000000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,44.01916495550992,44,2026-09-01,5.993155373032169,5,0.9931553730321694,60,2042-08-25,15.980835044490078,15.980835044490078,15.980835044490075,782400.0,26400.0,808800.0,0.03374233128834356,1.0002472799208704,1.3944274028629857,35-44,5-9,10L-20L,True,True,False,True,True,True,Observed_or_Validated,65500.0,65500.0,GTI_FLAT_01,0.0008961159317799892,PIPELINE_06_GTI_MORTALITY,0.0008961159317799892,Flat,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0008961159317799892,1792.2318635599784,False,0.0,0.8961159317799892,P09-C01,0.007968527036337707,532.9360621490785,5.238746892837947,9389.04910647,0.8,11736.311383087499,5.868155691543749
E00012,2002-07-12,Male,Married,2008-04-02,Yes,2022-09-07,Active,Permanent,E4,Sales,Field,Chennai,Field,,,50600.0,8700.0,59300.0,712000.0,941000.0,INR,60,2023-02-10,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,380000.0,Yes,Yes,231000.0,206000.0,47,Yes,GTI_FLAT_01,Flat,2000000.0,Legacy_HR,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,24.139630390143736,24,2026-09-01,3.9835728952772076,3,0.9835728952772076,60,2062-07-12,35.860369609856264,35.860369609856264,35.860369609856264,607200.0,104400.0,711600.0,0.17193675889328064,1.0005621135469365,1.5497364953886692,<25,1-4,5L-10L,True,True,False,True,True,True,Observed_or_Validated,56800.0,56800.0,GTI_FLAT_01,0.00030468206255571237,PIPELINE_06_GTI_MORTALITY,0.00030468206255571237,Flat,NOT_APPLICABLE,,2000000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.00030468206255571237,609.3641251114248,False,0.0,0.30468206255571234,P09-C01,0.007968527036337707,532.9360621490785,5.238746892837947,3192.30441703439,0.8,3990.3805212929874,1.9951902606464935
E00013,1992-10-20,Female,Married,1994-02-22,Yes,2022-08-17,Active,Contract,E3,Research,Field,Pune,Field,,,42700.0,5200.0,47900.0,512000.0,722000.0,INR,60,,Yes,GRAT_STD_01,No,,,,Yes,Yes,217000.0,182000.0,48,Yes,GTI_GRADE_03,Grade Based,2500000.0,HRIS,False,None,False,False,False,False,False,Observed,Observed,False,False,False,False,False,False,False,False,False,False,2026-09-01,P04-C01,True,33.86447638603696,33,2026-09-01,4.041067761806982,4,0.041067761806981906,60,2052-10-20,26.135523613963038,26.135523613963038,26.135523613963038,512400.0,62400.0,574800.0,0.12177985948477751,0.8907446068197634,1.409055425448868,25-34,1-4,5L-10L,True,False,False,False,True,True,Observed_or_Validated,47500.0,47500.0,GTI_GRADE_03,0.0004644996905633793,PIPELINE_06_GTI_MORTALITY,0.0004644996905633793,Grade Based,NOT_APPLICABLE,,2500000.0,5000000.0,0.2,0.0002,1e-05,1.1,OK,1.0,0.0004644996905633793,1161.2492264084483,False,0.0,0.4644996905633793,P09-C01,0.007115704583062382,462.6947243072019,4.285283265728479,4976.281877268265,0.8,6220.35234658533,2.488140938634132
