plan_id,product_type,E1_cover,E2_cover,E3_cover,E4_cover,E5_cover,E6_cover,E7_cover,E8_cover,accrual_rate,annual_charges_rate,benefit_days,continuity_gap_days,contribution_basis,contribution_frequency,cover_basis,credibility_confidence_z,credibility_tolerance_k,death_vesting_waiver,disability_annual_q,disability_vesting_waiver,discount_rate,divisor_days,early_retirement_model,employee_contribution_rate,employer_contribution_rate,expected_investment_return,flat_sum_assured,free_cover_limit,gross_premium_loading_rate,illustrative_maximum_benefit,illustrative_minimum_benefit,maximum_cover,minimum_cover,mortality_A,mortality_B,mortality_c,mortality_model,official_calculator_required,part_a_minimum_floor,part_year_rounding_threshold_months,pension_escalation_rate,pensionable_salary_basis,pensioner_mortality_model,pf_component_cap,pf_component_rate,retirement_age,rule_basis,salary_basis,salary_escalation_rate,salary_multiple,spouse_pension_percentage,vesting_years_resignation,wage_ceiling_monthly,wage_factor,weibull_eta,weibull_k,withdrawal_model
EDLI_STAT_CURRENT,EDLI,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,700000,250000,,,,,,,True,50000,,,,,175000,0.5,,Effective-date statutory rule,,,,,,15000,35,,,
GRAT_ENH_02,Gratuity,,,,,,,,,,,20,,,,,,,True,0.0015,True,0.07,26,Logistic,,,,,,,,,,,0.0002,1e-05,1.1,Gompertz-Makeham,,,6,,,,,,,,eligible_gratuity_wages_monthly,0.062,,,5,,,15,0.75,Weibull
GRAT_EXEC_03,Gratuity,,,,,,,,,,,20,,,,,,,True,0.0015,True,0.068,26,Logistic,,,,,,,,,,,0.0002,1e-05,1.1,Gompertz-Makeham,,,6,,,,,,,,eligible_gratuity_wages_monthly,0.065,,,5,,,15,0.75,Weibull
GRAT_STD_01,Gratuity,,,,,,,,,,,15,,,,,,,True,0.0015,True,0.07,26,Logistic,,,,,,,,,,,0.0002,1e-05,1.1,Gompertz-Makeham,,,6,,,,,,,,eligible_gratuity_wages_monthly,0.06,,,5,,,15,0.75,Weibull
GTI_FLAT_01,GTI,,,,,,,,,,,,,,,Flat,1.96,0.1,,,,,,,,,,2000000,5000000,0.2,,,,,0.0002,1e-05,1.1,Gompertz-Makeham,,,,,,,,,,,,,,,,,,,,
GTI_GRADE_03,GTI,1500000,2000000,2500000,3000000,4000000,5000000,7500000,10000000,,,,,,,Grade Based,1.96,0.1,,,,,,,,,,,5000000,0.2,,,,,0.0002,1e-05,1.1,Gompertz-Makeham,,,,,,,,,,,,,,,,,,,,
GTI_SAL_02,GTI,,,,,,,,,,,,,,,Salary Multiple,1.96,0.1,,,,,,,,,,,7500000,0.2,,,10000000,1500000,0.0002,1e-05,1.1,Gompertz-Makeham,,,,,,,,,,,gross_compensation_annual,,3,,,,,,,
PEN_DB_01,DB_Pension,,,,,,,,,0.015,,,,,,,,,,0.0015,,0.07,,,,,,,,,,,,,0.0002,1e-05,1.1,,,,,0.03,pensionable_salary_annual,Gompertz-Makeham,,,60,,,0.06,,0.5,,,,15,0.75,
PEN_DB_02,DB_Pension,,,,,,,,,0.02,,,,,,,,,,0.0015,,0.068,,,,,,,,,,,,,0.0002,1e-05,1.1,,,,,0.03,pensionable_salary_annual,Gompertz-Makeham,,,60,,,0.065,,0.67,,,,15,0.75,
SUP_DC_01,DC_Superannuation,,,,,,,,,,0.004,,,basic_salary_monthly,Monthly,,,,,,,,,,0,0.15,0.065,,,,,,,,,,,,,,,,,,,,60,,,0.065,,,,,,,,
SUP_DC_02,DC_Superannuation,,,,,,,,,,0.004,,,pensionable_salary_annual,Monthly,,,,,,,,,,0.05,0.1,0.067,,,,,,,,,,,,,,,,,,,,60,,,0.07,,,,,,,,
