employee_id,employment_status,department,grade,attained_age_years,completed_service_years,gratuity_plan_id,superannuation_plan_id,gti_plan_id,active_gratuity_member_flag,active_db_pension_member_flag,active_dc_superannuation_member_flag,active_edli_member_flag,active_gti_member_flag,gratuity_dbo,gratuity_puc_one_service_year_pv,db_pension_plan_id,member_dbo,spouse_dbo,db_pension_liability,db_pension_puc_one_service_year_pv,probability_reach_retirement_active,active_survival_source,dc_superannuation_plan_id,current_annual_employer_contribution,current_annual_employee_contribution,projected_future_contribution_corpus,projected_member_corpus_from_available_data,opening_member_corpus_available,dc_model_status,gti_pricing_plan_id,cover_basis,gti_sum_assured,gti_q_death_1y,gti_fresh_expected_death_count,gti_fresh_expected_claim_cost,gti_gross_premium_loading_rate,gti_fresh_model_gross_premium,gti_underwriting_referral_flag,gti_cover_above_free_cover_limit,gti_free_cover_limit,edli_plan_id,edli_capped_monthly_wage,edli_part_b_lower_if_qualifying,edli_part_b_upper_if_qualifying,official_calculator_required_flag,edli_model_status,combined_db_liability,known_group_risk_cover,pipeline_10_version
E00001,Retired,Manufacturing,E2,46.7460643394935,5.344284736481861,GRAT_STD_01,,GTI_GRADE_03,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,P10-C01
E00002,Active,Finance,E5,39.8631074606434,4.314852840520191,GRAT_STD_01,SUP_DC_02,GTI_GRADE_03,True,False,True,True,True,348263.69041580695,80712.76200785118,,,,,,,,SUP_DC_02,180600.0,90300.0,19857429.66539951,19857429.66539951,False,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,GTI_GRADE_03,Grade Based,4000000.0,0.0006684838191292939,0.0006684838191292939,2673.9352765171757,0.2,3342.4190956464695,False,0.0,5000000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,348263.69041580695,4000000.0,P10-C01
E00003,Active,Corporate,E5,57.93839835728953,1.5578370978781657,GRAT_STD_01,,GTI_FLAT_01,True,False,False,True,True,813.843035634136,522.4185742800845,,,,,,,,,,,,,,,GTI_FLAT_01,Flat,2000000.0,0.002820756002775553,0.002820756002775553,5641.512005551106,0.2,7051.890006938882,False,0.0,5000000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,813.843035634136,2000000.0,P10-C01
E00004,Active,Customer Service,E4,30.143737166324435,3.685147159479808,GRAT_STD_01,SUP_DC_01,GTI_SAL_02,True,False,True,True,True,118141.50694722954,32058.830172715898,,,,,,,,SUP_DC_01,118620.0,0.0,21864684.55596009,21864684.55596009,False,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,GTI_SAL_02,Salary Multiple,3504000.0,0.00038553120295323657,0.00038553120295323657,1350.901335148141,0.2,1688.6266689351762,False,0.0,7500000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,118141.50694722954,3504000.0,P10-C01
E00005,Active,Sales,E3,30.223134839151268,3.7782340862423,GRAT_STD_01,,GTI_GRADE_03,True,False,False,False,True,106861.04579555185,28283.331142627037,,,,,,,,,,,,,,,GTI_GRADE_03,Grade Based,2500000.0,0.0003869405388066532,0.0003869405388066532,967.351347016633,0.2,1209.1891837707913,False,0.0,5000000.0,,,,,,,106861.04579555185,2500000.0,P10-C01
E00006,Active,Manufacturing,E4,36.48459958932238,2.0095824777549622,GRAT_STD_01,,GTI_FLAT_01,True,False,False,True,True,53744.91949321978,26744.32131457565,,,,,,,,,,,,,,,GTI_FLAT_01,Flat,2000000.0,0.0005395236725449261,0.0005395236725449261,1079.0473450898521,0.2,1348.809181362315,False,0.0,5000000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,53744.91949321978,2000000.0,P10-C01
E00007,Active,Research,E3,50.4394250513347,10.729637234770705,,SUP_DC_01,,False,False,True,True,False,,,,,,,,,,SUP_DC_01,94320.0,0.0,1605205.168922899,1605205.168922899,False,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,,,,,,,,,,,,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,0.0,0.0,P10-C01
E00008,Exited,Finance,E3,39.13210130047912,3.132101300479124,GRAT_STD_01,PEN_DB_01,GTI_FLAT_01,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,P10-C01
E00009,Active,Research,E2,30.401095140314855,6.414784394250513,GRAT_STD_01,SUP_DC_01,GTI_GRADE_03,True,False,True,True,True,120335.26716102424,18759.05093067183,,,,,,,,SUP_DC_01,64440.0,0.0,11595075.701838361,11595075.701838361,False,INFO_OPENING_MEMBER_CORPUS_NOT_AVAILABLE,GTI_GRADE_03,Grade Based,2000000.0,0.00039013839843947233,0.00039013839843947233,780.2767968789447,0.2,975.3459960986808,False,0.0,5000000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,120335.26716102424,2000000.0,P10-C01
E00010,Active,Manufacturing,E2,29.453798767967147,1.4182067077344285,GRAT_STD_01,,GTI_FLAT_01,True,False,False,True,True,20534.096642382,14478.916599671864,,,,,,,,,,,,,,,GTI_FLAT_01,Flat,2000000.0,0.0003737232481967985,0.0003737232481967985,747.446496393597,0.2,934.3081204919963,False,0.0,5000000.0,EDLI_STAT_CURRENT,15000.0,525000.0,700000.0,True,REVIEW_CURRENT_WAGE_USED_AS_12M_PROXY | REVIEW_CONTINUITY_INFORMATION_UNAVAILABLE | OFFICIAL_CALCULATOR_REQUIRED,20534.096642382,2000000.0,P10-C01
