plan_id,active_members,actuarial_liability,puc_one_service_year_pv,product_type,annual_employer_contribution,annual_employee_contribution,projected_future_contribution_corpus,total_sum_assured,fresh_expected_claim_cost,fresh_model_gross_premium,underwriting_referrals,cover_above_free_cover_limit,edli_part_b_lower_if_qualifying,edli_part_b_upper_if_qualifying,plan_assets,funding_ratio,net_funded_position,funding_deficit,pipeline_10_version
GRAT_ENH_02,1444,565760498.3130648,77474897.71078312,Gratuity,,,,,,,,,,,149317000.0,0.263922632359842,-416443498.3130648,416443498.3130648,P10-C01
GRAT_EXEC_03,410,346109812.44593894,43290018.61313695,Gratuity,,,,,,,,,,,97448000.0,0.281552260282193,-248661812.44593894,248661812.44593894,P10-C01
GRAT_STD_01,7855,2060401817.8362212,282001816.73661345,Gratuity,,,,,,,,,,,412799000.0,0.20034878460431105,-1647602817.8362212,1647602817.8362212,P10-C01
PEN_DB_01,940,1053086979.7439562,122970957.1921575,DB_Pension,,,,,,,,,,,690161000.0,0.6553694170331527,-362925979.7439562,362925979.7439562,P10-C01
PEN_DB_02,374,605338202.4055783,79929118.03718762,DB_Pension,,,,,,,,,,,298446000.0,0.49302356734465663,-306892202.40557826,306892202.40557826,P10-C01
SUP_DC_01,2723,,,DC_Superannuation,411817140.0,0.0,35479677807.99622,,,,,,,,,,,,P10-C01
SUP_DC_02,1595,,,DC_Superannuation,172085290.06961396,86042645.03480698,23988141348.376007,,,,,,,,,,,,P10-C01
GTI_FLAT_01,2076,,,GTI,,,,4152000000.0,2864375.7382517955,3580469.672814744,0,0.0,,,,,,,P10-C01
GTI_GRADE_03,2006,,,GTI,,,,7510500000.0,7007911.204496438,8759889.005620547,229,700000000.0,,,,,,,P10-C01
GTI_SAL_02,3831,,,GTI,,,,15000168000.0,13034182.39803502,16292727.997543775,395,665115000.0,,,,,,,P10-C01
EDLI_STAT_CURRENT,8501,,,EDLI,,,,,,,,,4445700000.0,5927600000.0,,,,,P10-C01
