segment_type,segment_value,employee_count,gratuity_dbo,db_pension_liability,combined_db_liability,current_annual_employer_contribution,current_annual_employee_contribution,projected_future_contribution_corpus,gti_sum_assured,gti_fresh_expected_claim_cost,gti_fresh_model_gross_premium,gti_cover_above_free_cover_limit,edli_part_b_lower_if_qualifying,edli_part_b_upper_if_qualifying,gti_underwriting_referrals,pipeline_10_version
department,Corporate,525,152072612.67835987,79269918.58836034,231342531.2667202,29091028.671875,5013344.3359375,2957130674.56769,1429886000.0,1317179.4135532242,1646474.2669415302,84351000.0,229425000.0,305900000.0,37,P10-C01
department,Customer Service,658,207130608.2347089,139221481.5519425,346352089.7866515,36416800.0,5523350.0,3378459761.8351564,1822321000.0,1678655.6005726391,2098319.5007157987,115783000.0,289800000.0,386400000.0,50,P10-C01
department,Finance,889,254435407.33133623,113848714.1767004,368284121.5080366,54624600.0,8020350.0,5488875010.343124,2361746000.0,1983694.95333514,2479618.6916689244,97528000.0,398475000.0,531300000.0,50,P10-C01
department,Human Resources,502,136166177.0726868,59933454.27754537,196099631.35023215,29138420.0,3388960.0,2959319459.8213005,1195567000.0,969210.8437852273,1211513.554731534,58070000.0,217350000.0,289800000.0,23,P10-C01
department,Manufacturing,2211,671701140.4831755,338180419.06079865,1009881559.5439742,130096740.0,19876200.0,13707588650.7458,5760032000.0,4924480.371680746,6155600.464600933,251703000.0,987525000.0,1316700000.0,124,P10-C01
department,Operations,1420,408852612.6234508,241976910.4051296,650829523.0285804,81774400.0,11006300.0,8263189359.164814,3849682000.0,3264602.8608827377,4080753.5761034214,197543000.0,640500000.0,854000000.0,89,P10-C01
department,Research,685,203882393.37716815,92854528.46189094,296736921.8390591,39222334.28571428,5628407.142857143,4015742032.5171814,1802879000.0,1578789.9781607157,1973487.4727008948,92141000.0,313950000.0,418600000.0,42,P10-C01
department,Sales,1275,392051815.26043075,262524939.76126498,654576755.0216957,76574807.11202466,11687183.556012332,8091090602.629883,3510481000.0,2831528.673964979,3539410.8424562234,180896000.0,563850000.0,751800000.0,78,P10-C01
department,Supply Chain,821,235561636.8899713,124274290.42298612,359835927.3129574,48934580.0,7129150.0,4943517792.597633,2257682000.0,1891732.5649390803,2364665.70617385,114090000.0,374850000.0,499800000.0,55,P10-C01
department,Technology,964,310417724.64393675,206340525.44291556,516758250.08685225,58028720.0,8769400.0,5662905812.14965,2672392000.0,2466594.079908764,3083242.5998859545,173010000.0,429975000.0,573300000.0,76,P10-C01
grade,E1,820,57089148.04493397,4421549.033325651,61510697.07825962,13185200.0,1858600.0,4161922884.305995,1099093000.0,426472.9875126019,533091.2343907523,0.0,364875000.0,486500000.0,0,P10-C01
grade,E2,1471,161012904.38462973,17612272.24063176,178625176.6252615,34765980.0,5388150.0,8059233922.400939,2257829000.0,1108379.6954896548,1385474.6193620684,0.0,646275000.0,861700000.0,0,P10-C01
grade,E3,2118,371254862.35982203,90206157.34102494,461461019.70084697,70936374.28571428,10189257.142857142,10674600570.060158,4013657000.0,2515847.5998680685,3144809.4998350856,0.0,944475000.0,1259300000.0,0,P10-C01
grade,E4,2119,509992975.4489773,142953877.12792104,652946852.5768983,107486788.671875,15176144.3359375,12129500348.830603,5037545000.0,3690101.241561047,4612626.551951308,0.0,933450000.0,1244600000.0,0,P10-C01
grade,E5,1690,617321760.9101236,262852963.25036156,880174724.160485,121902247.11202466,18137493.556012332,11357920463.72884,5079789000.0,4463295.68926076,5579119.61157595,11331000.0,765975000.0,1021300000.0,11,P10-C01
grade,E6,1077,575084617.7310245,371417648.3677074,946502266.098732,123694720.0,17765900.0,8545384567.964153,4790037000.0,4887544.597194232,6109430.746492788,157650000.0,486150000.0,648200000.0,145,P10-C01
grade,E7,511,483832564.7302525,461083958.5682752,944916523.2985277,78693480.0,10803600.0,3452750447.544572,3279581000.0,4162031.2292404426,5202539.036550553,796997000.0,237825000.0,317100000.0,359,P10-C01
grade,E8,144,196683294.9854614,307876756.2202868,504560051.2057482,33237640.0,6723500.0,1086505951.5369716,1105137000.0,1652796.3006564463,2065995.3758205578,399137000.0,66675000.0,88900000.0,109,P10-C01
