employee_id,plan_id,product_type,attained_age_years,model_input_quality_status,mortality_A,mortality_B,mortality_c,mortality_intensity_at_age,q_death_standalone_1y,decrement_engine_version
E00011,GRAT_ENH_02,Gratuity,44.01916495550992,Observed_or_Validated,0.0002,1e-05,1.1,0.0008638522566942143,0.0008961159317799892,P06-C01
E00031,GRAT_ENH_02,Gratuity,48.158795345653665,Observed_or_Validated,0.0002,1e-05,1.1,0.001184967392484989,0.0012326732021671761,P06-C01
E00042,GRAT_ENH_02,Gratuity,36.780287474332646,Observed_or_Validated,0.0002,1e-05,1.1,0.0005329928124214239,0.000549227132566835,P06-C01
E00045,GRAT_ENH_02,Gratuity,42.455852156057496,Observed_or_Validated,0.0002,1e-05,1.1,0.0007719548162751271,0.000799778356544792,P06-C01
E00046,GRAT_ENH_02,Gratuity,53.5523613963039,Observed_or_Validated,0.0002,1e-05,1.1,0.0018469333908107605,0.0019261148345053505,P06-C01
E00049,GRAT_ENH_02,Gratuity,22.587268993839835,Observed_or_Validated,0.0002,1e-05,1.1,0.00028608901009256985,0.0002902829543698502,P06-C01
E00050,GRAT_ENH_02,Gratuity,33.22655715263518,Observed_or_Validated,0.0002,1e-05,1.1,0.00043732113631459845,0.0004488979441492646,P06-C01
E00061,GRAT_ENH_02,Gratuity,30.872005475701574,Observed_or_Validated,0.0002,1e-05,1.1,0.00038961609696152677,0.00039886675323462176,P06-C01
E00065,GRAT_ENH_02,Gratuity,41.49486652977413,Observed_or_Validated,0.0002,1e-05,1.1,0.0007218959731676534,0.0007472969523562927,P06-C01
E00074,GRAT_ENH_02,Gratuity,28.91170431211499,Observed_or_Validated,0.0002,1e-05,1.1,0.0003573015760543199,0.00036497511712777023,P06-C01
E00076,GRAT_ENH_02,Gratuity,29.204654346338124,Observed_or_Validated,0.0002,1e-05,1.1,0.0003617555022601424,0.00036964648616699555,P06-C01
E00077,GRAT_ENH_02,Gratuity,41.52498288843258,Observed_or_Validated,0.0002,1e-05,1.1,0.0007233961731047685,0.0007488697934374483,P06-C01
E00092,GRAT_ENH_02,Gratuity,52.0766598220397,Observed_or_Validated,0.0002,1e-05,1.1,0.0016308456387500734,0.0016998053331378235,P06-C01
E00099,GRAT_ENH_02,Gratuity,35.937029431895965,Observed_or_Validated,0.0002,1e-05,1.1,0.0005072770641821546,0.0005222604735617668,P06-C01
E00100,GRAT_ENH_02,Gratuity,38.450376454483234,Observed_or_Validated,0.0002,1e-05,1.1,0.000590449010720486,0.0006094755877401749,P06-C01
E00118,GRAT_ENH_02,Gratuity,49.06776180698152,Observed_or_Validated,0.0002,1e-05,1.1,0.0012741042027566286,0.0013260764157587432,P06-C01
E00126,GRAT_ENH_02,Gratuity,37.68925393566051,Observed_or_Validated,0.0002,1e-05,1.1,0.0005631277360433555,0.0005808270064036828,P06-C01
E00131,GRAT_ENH_02,Gratuity,37.53319644079398,Observed_or_Validated,0.0002,1e-05,1.1,0.0005577665913846254,0.0005752053132734546,P06-C01
E00143,GRAT_ENH_02,Gratuity,49.379876796714576,Observed_or_Validated,0.0002,1e-05,1.1,0.0013065363709354268,0.0013600587350122452,P06-C01
