rule_id,plan_id,product_type,rule_category,parameter_name,parameter_value,value_type,unit,formula_template,effective_from,effective_to,dashboard_editable_flag,source_reference
R0001,GRAT_STD_01,Gratuity,Benefit,benefit_days,15,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0002,GRAT_STD_01,Gratuity,Benefit,divisor_days,26,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0003,GRAT_STD_01,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0004,GRAT_STD_01,Gratuity,Eligibility,vesting_years_resignation,5,Numeric,years,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0005,GRAT_STD_01,Gratuity,Eligibility,death_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0006,GRAT_STD_01,Gratuity,Eligibility,disability_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0007,GRAT_STD_01,Gratuity,Eligibility,part_year_rounding_threshold_months,6,Numeric,months,qualifying_service_rounding,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0008,GRAT_STD_01,Gratuity,Financial,salary_escalation_rate,0.06,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic valuation assumption; dashboard scenario input
R0009,GRAT_STD_01,Gratuity,Financial,discount_rate,0.07,Numeric,decimal_rate,present_value_discounting,2026-09-01,,Yes,Synthetic valuation assumption; governed under applicable actuarial/accounting basis
R0010,GRAT_STD_01,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Text,model,gompertz_makeham,2026-09-01,,No,Book Chapter 7; illustrative model family
R0011,GRAT_STD_01,Gratuity,Demographic,mortality_A,0.0002,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter
R0012,GRAT_STD_01,Gratuity,Demographic,mortality_B,1e-05,Numeric,intensity,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter
R0013,GRAT_STD_01,Gratuity,Demographic,mortality_c,1.1,Numeric,multiplier,gompertz_makeham,2026-09-01,,Yes,Synthetic model parameter
R0014,GRAT_STD_01,Gratuity,Demographic,withdrawal_model,Weibull,Text,model,weibull_withdrawal,2026-09-01,,No,Book Chapter 8; illustrative model family
R0015,GRAT_STD_01,Gratuity,Demographic,weibull_eta,15.0,Numeric,years,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter
R0016,GRAT_STD_01,Gratuity,Demographic,weibull_k,0.75,Numeric,shape,weibull_withdrawal,2026-09-01,,Yes,Synthetic model parameter
R0017,GRAT_STD_01,Gratuity,Demographic,disability_annual_q,0.0015,Numeric,probability,bernoulli_disability,2026-09-01,,Yes,Synthetic model parameter
R0018,GRAT_STD_01,Gratuity,Demographic,early_retirement_model,Logistic,Text,model,logistic_early_retirement,2026-09-01,,No,Book Chapter 10; illustrative model family
R0019,GRAT_ENH_02,Gratuity,Benefit,benefit_days,20,Numeric,days,gratuity_days_over_divisor,2026-09-01,,Yes,Synthetic enhanced employer scheme; statutory minimum remains floor
R0020,GRAT_ENH_02,Gratuity,Benefit,divisor_days,26,Numeric,days,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0021,GRAT_ENH_02,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0022,GRAT_ENH_02,Gratuity,Eligibility,vesting_years_resignation,5,Numeric,years,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0023,GRAT_ENH_02,Gratuity,Eligibility,death_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0024,GRAT_ENH_02,Gratuity,Eligibility,disability_vesting_waiver,True,Boolean,flag,gratuity_eligibility,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0025,GRAT_ENH_02,Gratuity,Eligibility,part_year_rounding_threshold_months,6,Numeric,months,qualifying_service_rounding,2026-09-01,,No,https://www.indiacode.nic.in/handle/123456789/22074
R0026,GRAT_ENH_02,Gratuity,Financial,salary_escalation_rate,0.062,Numeric,decimal_rate,salary_projection,2026-09-01,,Yes,Synthetic valuation assumption; dashboard scenario input
