employee_id,effective_date,basic_salary_monthly,dearness_allowance_monthly,gratuity_eligible_wages_monthly,pensionable_salary_annual,edli_eligible_wages_monthly,gross_compensation_annual
E00001,2022-04-01,20800.0,3600.0,24400.0,293000.0,24400.0,375000.0
E00001,2023-04-01,22300.0,3900.0,26200.0,315000.0,26200.0,403000.0
E00002,2023-04-01,114100.0,4200.0,118300.0,1369000.0,118300.0,1948000.0
E00002,2024-04-01,124400.0,4600.0,129000.0,1492000.0,129000.0,2124000.0
E00002,2025-04-01,133000.0,4900.0,137900.0,1595000.0,137900.0,2270000.0
E00002,2026-04-01,144200.0,5400.0,149600.0,1731000.0,149600.0,2463000.0
E00003,2025-04-01,94900.0,3000.0,97900.0,1175000.0,97900.0,1438000.0
E00003,2026-04-01,101700.0,3200.0,104900.0,1259000.0,104900.0,1540000.0
E00004,2023-04-01,51100.0,2100.0,53200.0,638000.0,53200.0,906000.0
E00004,2024-04-01,55700.0,2300.0,58000.0,696000.0,58000.0,988000.0
E00004,2025-04-01,58800.0,2400.0,61200.0,734000.0,61200.0,1042000.0
E00004,2026-04-01,64200.0,2600.0,66800.0,801000.0,66800.0,1137000.0
E00005,2023-04-01,43700.0,7100.0,50800.0,524000.0,50800.0,747000.0
E00005,2024-04-01,45300.0,7400.0,52700.0,544000.0,52700.0,775000.0
E00005,2025-04-01,48500.0,7900.0,56400.0,582000.0,56400.0,830000.0
E00005,2026-04-01,50500.0,8300.0,58800.0,606000.0,58800.0,865000.0
E00006,2025-04-01,55200.0,300.0,55500.0,663000.0,55500.0,913000.0
E00006,2026-04-01,59200.0,300.0,59500.0,711000.0,59500.0,979000.0
E00007,2022-04-01,39800.0,1400.0,41200.0,478000.0,41200.0,645000.0
E00007,2023-04-01,42600.0,1500.0,44100.0,512000.0,44100.0,690000.0
E00007,2024-04-01,44500.0,1500.0,46000.0,534000.0,46000.0,720000.0
E00007,2025-04-01,48200.0,1700.0,49900.0,579000.0,49900.0,781000.0
E00007,2026-04-01,50400.0,1700.0,52100.0,605000.0,52100.0,815000.0
E00008,2022-04-01,37800.0,700.0,38500.0,462000.0,38500.0,594000.0
E00008,2023-04-01,40600.0,700.0,41300.0,495000.0,41300.0,637000.0
E00008,2024-04-01,45200.0,800.0,46000.0,552000.0,46000.0,710000.0
E00009,2022-04-01,27000.0,1100.0,28100.0,337000.0,28100.0,474000.0
E00009,2023-04-01,28600.0,1100.0,29700.0,356000.0,29700.0,501000.0
E00009,2024-04-01,30100.0,1200.0,31300.0,375000.0,31300.0,528000.0
E00009,2025-04-01,32400.0,1300.0,33700.0,404000.0,33700.0,569000.0
E00009,2026-04-01,35100.0,1400.0,36500.0,438000.0,36500.0,616000.0
E00010,2025-04-01,31200.0,2900.0,34100.0,409000.0,34100.0,540000.0
E00010,2026-04-01,33400.0,3200.0,36600.0,439000.0,36600.0,580000.0
E00011,2022-04-01,47300.0,1600.0,48900.0,587000.0,48900.0,792000.0
E00011,2023-04-01,51400.0,1700.0,53100.0,637000.0,53100.0,860000.0
E00011,2024-04-01,54500.0,1800.0,56300.0,676000.0,56300.0,911000.0
E00011,2025-04-01,59500.0,2000.0,61500.0,738000.0,61500.0,995000.0
E00011,2026-04-01,63400.0,2100.0,65500.0,786000.0,65500.0,1060000.0
E00012,2023-04-01,39300.0,6800.0,46100.0,554000.0,46100.0,732000.0
E00012,2024-04-01,42000.0,7200.0,49200.0,591000.0,49200.0,781000.0
E00012,2025-04-01,45200.0,7800.0,53000.0,636000.0,53000.0,841000.0
E00012,2026-04-01,48500.0,8300.0,56800.0,682000.0,56800.0,901000.0
E00013,2023-04-01,36100.0,4400.0,40500.0,433000.0,40500.0,610000.0
E00013,2024-04-01,38300.0,4700.0,43000.0,460000.0,43000.0,648000.0
E00013,2025-04-01,39600.0,4800.0,44400.0,475000.0,44400.0,669000.0
E00013,2026-04-01,42300.0,5200.0,47500.0,508000.0,47500.0,716000.0
E00014,2022-04-01,83400.0,2800.0,86200.0,1034000.0,86200.0,1331000.0
E00014,2023-04-01,87500.0,2900.0,90400.0,1085000.0,90400.0,1395000.0
E00014,2024-04-01,92100.0,3100.0,95200.0,1142000.0,95200.0,1469000.0
E00014,2025-04-01,96200.0,3200.0,99400.0,1193000.0,99400.0,1534000.0
E00014,2026-04-01,99100.0,3300.0,102400.0,1229000.0,102400.0,1581000.0
E00015,2025-04-01,129200.0,11700.0,140900.0,1550000.0,140900.0,2267000.0
E00015,2026-04-01,138600.0,12600.0,151200.0,1664000.0,151200.0,2432000.0
E00016,2023-04-01,47800.0,7500.0,55300.0,663000.0,55300.0,907000.0
E00016,2024-04-01,49900.0,7800.0,57700.0,692000.0,57700.0,946000.0
E00016,2025-04-01,52300.0,8200.0,60500.0,726000.0,60500.0,992000.0
E00016,2026-04-01,56000.0,8700.0,64700.0,776000.0,64700.0,1061000.0
E00017,2022-04-01,34900.0,400.0,35300.0,424000.0,35300.0,584000.0
E00017,2023-04-01,37000.0,400.0,37400.0,449000.0,37400.0,619000.0
E00017,2024-04-01,38800.0,400.0,39200.0,470000.0,39200.0,649000.0
E00017,2025-04-01,40700.0,500.0,,494000.0,41200.0,682000.0
E00017,2026-04-01,43000.0,500.0,43500.0,522000.0,43500.0,720000.0
E00018,2022-04-01,169900.0,5700.0,175600.0,2107000.0,175600.0,2611000.0
E00018,2023-04-01,177400.0,5900.0,183300.0,2199000.0,183300.0,2726000.0
E00018,2024-04-01,187900.0,6300.0,194200.0,2330000.0,194200.0,2888000.0
E00018,2025-04-01,195400.0,6500.0,201900.0,2422000.0,201900.0,3002000.0
E00018,2026-04-01,206200.0,6900.0,213100.0,2557000.0,213100.0,3169000.0
E00019,2022-04-01,83000.0,13200.0,96200.0,1155000.0,96200.0,1405000.0
E00019,2023-04-01,87500.0,13900.0,101400.0,1217000.0,101400.0,1481000.0
E00019,2024-04-01,93100.0,14800.0,107900.0,1295000.0,107900.0,1576000.0
E00019,2025-04-01,100500.0,16000.0,116500.0,1398000.0,116500.0,1702000.0
E00019,2026-04-01,108500.0,17300.0,125800.0,1510000.0,125800.0,1838000.0
E00020,2022-04-01,23200.0,4100.0,27300.0,328000.0,27300.0,405000.0
E00020,2023-04-01,25100.0,4400.0,29500.0,354000.0,29500.0,437000.0
E00020,2024-04-01,28200.0,5000.0,33200.0,399000.0,33200.0,492000.0
E00020,2025-04-01,30000.0,5300.0,35300.0,424000.0,35300.0,523000.0
E00021,2022-04-01,44300.0,1500.0,45800.0,550000.0,45800.0,710000.0
E00021,2023-04-01,45900.0,1600.0,47500.0,570000.0,47500.0,736000.0
E00021,2024-04-01,49100.0,1700.0,50800.0,610000.0,50800.0,787000.0
E00021,2025-04-01,51800.0,1800.0,53600.0,644000.0,53600.0,830000.0
E00021,2026-04-01,53900.0,1900.0,55800.0,670000.0,55800.0,865000.0
E00022,2022-04-01,174500.0,3800.0,178300.0,2140000.0,178300.0,2942000.0
E00022,2023-04-01,189700.0,4200.0,193900.0,2327000.0,193900.0,3199000.0
E00022,2024-04-01,202800.0,4500.0,207300.0,2488000.0,207300.0,3421000.0
E00022,2025-04-01,217300.0,4800.0,222100.0,2665000.0,222100.0,3665000.0
E00022,2026-04-01,226200.0,5000.0,231200.0,2775000.0,231200.0,3815000.0
E00023,2023-04-01,42600.0,3800.0,46400.0,511000.0,46400.0,748000.0
E00023,2024-04-01,45900.0,4100.0,50000.0,551000.0,50000.0,807000.0
E00023,2025-04-01,51900.0,4700.0,56600.0,623000.0,56600.0,913000.0
E00023,2026-04-01,56100.0,5100.0,61200.0,674000.0,61200.0,987000.0
E00024,2022-04-01,44000.0,3800.0,47800.0,574000.0,47800.0,764000.0
E00024,2023-04-01,45700.0,3900.0,49600.0,595000.0,49600.0,793000.0
E00024,2024-04-01,48100.0,4100.0,52200.0,627000.0,52200.0,835000.0
E00025,2022-04-01,42800.0,200.0,43000.0,516000.0,43000.0,676000.0
E00025,2023-04-01,45600.0,200.0,45800.0,549000.0,45800.0,720000.0
E00025,2024-04-01,49600.0,200.0,49800.0,597000.0,49800.0,783000.0
E00025,2025-04-01,54900.0,300.0,55200.0,662000.0,55200.0,868000.0
E00025,2026-04-01,58700.0,300.0,59000.0,708000.0,59000.0,928000.0
E00026,2024-04-01,176000.0,4100.0,180100.0,2161000.0,180100.0,2563000.0
E00026,2025-04-01,190400.0,4500.0,194900.0,2338000.0,194900.0,2773000.0
E00026,2026-04-01,200800.0,4700.0,205500.0,2466000.0,205500.0,2924000.0
E00027,2022-04-01,24100.0,100.0,24200.0,290000.0,24200.0,387000.0
E00027,2023-04-01,25800.0,200.0,26000.0,312000.0,26000.0,416000.0
E00027,2024-04-01,27400.0,200.0,27600.0,331000.0,27600.0,441000.0
E00027,2025-04-01,29500.0,200.0,29700.0,356000.0,29700.0,475000.0
E00027,2026-04-01,32400.0,200.0,32600.0,391000.0,32600.0,521000.0
E00028,2022-04-01,42500.0,1500.0,44000.0,510000.0,44000.0,709000.0
E00028,2023-04-01,43300.0,1500.0,44800.0,519000.0,44800.0,722000.0
