claim_event_id,employee_id,event_date,event_type,product_type,product_plan_id,exposure_start_date,exposure_end_date,exposure_days,sum_assured_at_event,claim_amount,claim_status,exposure_end_before_start_flag,exposure_after_valuation_flag,missing_exposure_date_flag,event_outside_exposure_flag,claim_row_missing_event_date_flag,claim_row_missing_status_flag,negative_claim_amount_flag,paid_or_approved_missing_amount_flag,gti_missing_sum_assured_flag,gti_claim_exceeds_sum_assured_flag,invalid_product_plan_id_flag
EXP0000499,E00115,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0001472,E00333,2024-10-08,Death,DC_Superannuation,SUP_DC_01,2025-01-06,2024-10-08,-89.0,,104000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0001803,E00409,2024-03-24,Early Retirement,DC_Superannuation,SUP_DC_02,2024-12-06,2024-03-24,-256.0,,258000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0002877,E00658,,,Experience,,2025-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0004844,E01105,,,Experience,,2025-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0005222,E01193,2025-03-01,Withdrawal,DC_Superannuation,SUP_DC_01,2026-02-16,2025-03-01,-351.0,,35000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0005445,E01246,2022-05-18,Withdrawal,DC_Superannuation,SUP_DC_01,2022-08-06,2022-05-18,-79.0,,805000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0006484,E01488,2023-11-20,Withdrawal,DC_Superannuation,SUP_DC_01,2024-04-17,2023-11-20,-148.0,,89000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0007604,E01745,2023-01-26,Withdrawal,DC_Superannuation,SUP_DC_01,2023-02-07,2023-01-26,-11.0,,334000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0007678,E01762,2026-02-24,Retirement,Experience,,2026-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0007679,E01762,2026-02-24,Retirement,DC_Superannuation,SUP_DC_02,2026-08-12,2026-02-24,-168.0,,0.0,Rejected,True,False,False,True,False,False,False,False,False,False,False
EXP0009057,E02081,2024-01-06,Withdrawal,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0009641,E02211,2022-09-20,Withdrawal,DC_Superannuation,SUP_DC_02,2023-01-29,2022-09-20,-130.0,,218000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0009903,E02269,2024-09-12,Withdrawal,DC_Superannuation,SUP_DC_01,2024-09-18,2024-09-12,-5.0,,231000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0010511,E02404,2022-03-17,Withdrawal,DC_Superannuation,SUP_DC_01,2022-06-18,2022-03-17,-92.0,,199000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0011397,E02602,,,Experience,,2022-03-29,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0011966,E02731,2022-11-07,Withdrawal,DC_Superannuation,SUP_DC_01,2023-08-03,2022-11-07,-268.0,,1119000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0012117,E02767,2024-11-14,Retirement,DC_Superannuation,SUP_DC_02,2025-03-30,2024-11-14,-135.0,,131000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0012165,E02778,2026-02-10,Disability,DC_Superannuation,SUP_DC_01,2026-03-11,2026-02-10,-28.0,,46000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0013161,E03003,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0013424,E03065,2023-09-30,Retirement,DC_Superannuation,SUP_DC_02,2024-07-09,2023-09-30,-282.0,,243000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0013801,E03155,2024-04-07,Withdrawal,DC_Superannuation,SUP_DC_01,2024-07-06,2024-04-07,-89.0,,290000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0014005,E03199,2024-07-07,Withdrawal,DC_Superannuation,SUP_DC_01,2024-11-06,2024-07-07,-121.0,,197000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0014344,E03274,2023-12-03,Withdrawal,DC_Superannuation,SUP_DC_02,2024-09-07,2023-12-03,-278.0,,214000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0014381,E03283,2024-01-30,Early Retirement,DC_Superannuation,SUP_DC_01,2024-10-13,2024-01-30,-256.0,,0.0,Rejected,True,False,False,True,False,False,False,False,False,False,False
EXP0014565,E03324,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0015941,E03636,2024-05-17,Death,DC_Superannuation,SUP_DC_01,2024-10-01,2024-05-17,-136.0,,191000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0016521,E03773,2024-03-06,Withdrawal,DC_Superannuation,SUP_DC_01,2024-09-13,2024-03-06,-190.0,,174000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0016530,E03776,,,Experience,,2023-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0016540,E03778,2025-07-20,Withdrawal,DC_Superannuation,SUP_DC_01,2025-09-16,2025-07-20,-57.0,,44000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0016733,E03822,2024-03-09,Retirement,DC_Superannuation,SUP_DC_01,2024-07-28,2024-03-09,-140.0,,407000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0016753,E03827,2023-10-13,Retirement,DC_Superannuation,SUP_DC_02,2023-12-08,2023-10-13,-55.0,,278000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0016821,E03844,,,Experience,,2025-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0016890,E03859,2024-08-09,Withdrawal,DC_Superannuation,SUP_DC_02,2024-10-21,2024-08-09,-72.0,,231000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0017654,E04033,2025-06-12,Withdrawal,DC_Superannuation,SUP_DC_01,2025-09-19,2025-06-12,-98.0,,80000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0017782,E04063,2023-11-06,Withdrawal,DC_Superannuation,SUP_DC_01,2024-07-25,2023-11-06,-261.0,,116000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0017847,E04079,2023-09-11,Withdrawal,DC_Superannuation,SUP_DC_01,2023-11-12,2023-09-11,-61.0,,242000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0019181,E04385,2023-03-20,Disability,DC_Superannuation,SUP_DC_01,2023-09-25,2023-03-20,-188.0,,688000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0019562,E04470,2025-09-13,Withdrawal,DC_Superannuation,SUP_DC_01,2025-10-15,2025-09-13,-31.0,,242000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0019617,E04485,2022-06-15,Withdrawal,DC_Superannuation,SUP_DC_02,2023-02-03,2022-06-15,-232.0,,202000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0019760,E04518,,,Experience,,2025-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0020113,E04598,2025-02-18,Withdrawal,DC_Superannuation,SUP_DC_01,2025-07-21,2025-02-18,-152.0,,145000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0020671,E04724,,,Experience,,2025-12-16,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0020966,E04787,2026-02-25,Withdrawal,DC_Superannuation,SUP_DC_01,2026-05-29,2026-02-25,-92.0,,11000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0021778,E04972,2026-01-08,Withdrawal,DC_Superannuation,SUP_DC_02,2026-02-21,2026-01-08,-43.0,,0.0,Rejected,True,False,False,True,False,False,False,False,False,False,False
CLM0021823,E04984,2023-04-24,Retirement,DC_Superannuation,SUP_DC_01,2023-07-06,2023-04-24,-72.0,,144000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0023010,E05258,2024-03-26,Withdrawal,DC_Superannuation,SUP_DC_01,2024-11-03,2024-03-26,-221.0,,390000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0023787,E05434,,,Experience,,2026-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0023975,E05478,2024-01-12,Withdrawal,DC_Superannuation,SUP_DC_01,2024-01-22,2024-01-12,-9.0,,296000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0024093,E05505,2024-10-26,Early Retirement,DC_Superannuation,SUP_DC_01,2025-01-06,2024-10-26,-71.0,,196000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0024316,E05555,2024-11-22,Withdrawal,DC_Superannuation,SUP_DC_01,2025-02-20,2024-11-22,-89.0,,151000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0024435,E05582,2026-07-28,Withdrawal,DC_Superannuation,SUP_DC_01,2026-09-01,2026-07-28,-34.0,,0.0,Paid,True,False,False,True,False,False,False,True,False,False,False
EXP0024962,E05705,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0025433,E05810,,,Experience,,2023-04-08,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0026196,E05985,2022-11-12,Withdrawal,DC_Superannuation,SUP_DC_01,2023-04-18,2022-11-12,-156.0,,0.0,Rejected,True,False,False,True,False,False,False,False,False,False,False
CLM0026725,E06107,2024-09-15,Withdrawal,DC_Superannuation,SUP_DC_01,2024-11-29,2024-09-15,-74.0,,102000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0027605,E06303,,,Experience,,2026-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0027830,E06354,,,Experience,,2022-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0028925,E06604,,,Experience,,2025-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0029469,E06728,2024-12-18,Withdrawal,DC_Superannuation,SUP_DC_02,2024-12-30,2024-12-18,-11.0,,147000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0030006,E06855,,,Experience,,2023-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0031430,E07175,,,Experience,,2023-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0031455,E07180,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0031817,E07261,,,Experience,,2024-09-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0032194,E07344,2025-02-25,Withdrawal,DC_Superannuation,SUP_DC_02,2025-04-18,2025-02-25,-51.0,,208000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0035910,E08183,2024-05-22,Withdrawal,DC_Superannuation,SUP_DC_01,2024-09-22,2024-05-22,-122.0,,353000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0036049,E08215,2024-07-10,Early Retirement,DC_Superannuation,SUP_DC_02,2025-04-04,2024-07-10,-267.0,,81000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0037164,E08470,2026-02-16,Retirement,DC_Superannuation,SUP_DC_01,2026-05-31,2026-02-16,-103.0,,15000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0037487,E08545,2025-05-28,Retirement,DC_Superannuation,SUP_DC_02,2025-06-13,2025-05-28,-15.0,,50000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0038303,E08739,2023-02-22,Disability,DC_Superannuation,SUP_DC_01,2023-12-22,2023-02-22,-302.0,,165000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0038324,E08744,2025-08-12,Withdrawal,DC_Superannuation,SUP_DC_01,2026-04-18,2025-08-12,-248.0,,18000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0038361,E08753,,,Experience,,2022-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0038996,E08901,2022-05-09,Withdrawal,DC_Superannuation,SUP_DC_01,2022-07-27,2022-05-09,-78.0,,0.0,Rejected,True,False,False,True,False,False,False,False,False,False,False
CLM0041099,E09384,2022-01-31,Withdrawal,DC_Superannuation,SUP_DC_01,2022-05-11,2022-01-31,-99.0,,912000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
EXP0041745,E09532,,,Experience,,2023-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
EXP0041751,E09533,,,Experience,,2024-01-01,,,,,Not_Applicable,False,False,True,False,False,False,False,False,False,False,False
CLM0042670,E09743,2024-05-07,Withdrawal,DC_Superannuation,SUP_DC_01,2025-03-22,2024-05-07,-318.0,,463000.0,Paid,True,False,False,True,False,False,False,False,False,False,False
CLM0042907,E09797,2026-06-06,Withdrawal,DC_Superannuation,SUP_DC_01,2026-08-06,2026-06-06,-60.0,,11000.0,Pending,True,False,False,True,False,False,False,False,False,False,False
