employee_id,date_of_birth,date_of_joining,exit_date,employment_status,exit_reason,retirement_age,spouse_eligible_flag,spouse_date_of_birth,superannuation_join_date,diagnostic_attained_age_years,diagnostic_joining_age_years,diagnostic_service_years,missing_date_of_birth_flag,missing_date_of_joining_flag,missing_retirement_age_flag,spouse_eligible_missing_dob_flag,dob_after_valuation_flag,doj_after_valuation_flag,doj_on_or_before_dob_flag,exit_before_joining_flag,active_with_exit_date_flag,inactive_without_exit_date_flag,active_with_exit_reason_flag,inactive_without_exit_reason_flag,status_exit_reason_mismatch_flag,superannuation_join_before_company_join_flag,superannuation_join_after_valuation_flag,unusual_joining_age_flag,impossible_attained_age_flag,active_past_retirement_age_flag
E00033,1966-03-04,2022-10-30,,Active,,60,Yes,1968-01-02,,60.49555099247091,56.6570841889117,3.838466803559206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E00039,,2021-12-16,,Active,,60,Yes,1973-03-13,2022-06-11,,,4.7091033538672145,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00048,,2026-01-08,2026-02-28,Exited,Withdrawal,60,No,,,,,0.13963039014373715,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00057,1999-06-04,,,Active,,60,No,,2024-07-30,27.24435318275154,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00058,1991-01-31,2018-06-26,,Exited,Withdrawal,60,Yes,1988-09-26,2018-08-28,35.58384668035592,27.40041067761807,8.183436002737851,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00105,1997-06-30,2019-07-01,,Exited,Withdrawal,60,No,,,29.17180013689254,22.001368925393567,7.170431211498974,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00127,,2017-02-10,2024-11-18,Exited,Withdrawal,60,Yes,1980-06-25,,,,7.770020533880904,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00135,,2017-07-27,,Active,,60,No,,2018-02-20,,,9.097878165639973,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00136,,2021-10-17,2025-12-24,Exited,Withdrawal,60,No,,2022-09-24,,,4.186173853524983,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00147,1965-05-16,2020-07-23,,Active,,60,Yes,1968-04-08,2021-02-14,61.295003422313485,55.186858316221766,6.108145106091718,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E00151,2000-06-27,2018-06-27,2024-04-28,Exited,Withdrawal,60,No,,,26.17932922655715,17.998631074606433,5.83709787816564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00166,1980-07-02,2025-02-22,,Retired,Retirement,60,No,,2025-09-30,46.16563997262149,44.643394934976044,1.5222450376454484,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00167,1985-10-14,,,Active,,60,Yes,1987-01-18,,40.88158795345654,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00174,2005-08-23,2023-08-23,,Active,,60,No,,2024-03-28,21.023956194387406,17.998631074606433,3.025325119780972,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00184,1965-04-30,2013-06-01,,Active,,60,Yes,1966-09-11,2013-08-19,61.3388090349076,48.087611225188226,13.25119780971937,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E00214,1984-08-30,2023-03-07,,Exited,Withdrawal,60,No,,,42.0041067761807,38.5160848733744,3.488021902806297,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00234,1980-06-21,2009-04-27,,Exited,Withdrawal,60,Yes,1979-02-07,2014-12-17,46.195756331279945,28.84873374401095,17.347022587268995,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00244,1997-06-05,2015-06-05,,Active,,60,No,,2015-12-16,29.240246406570844,17.998631074606433,11.241615331964407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00245,1997-08-10,2015-10-11,,Early Retired,Early Retirement,60,Yes,2005-03-04,,29.059548254620122,18.168377823408623,10.8911704312115,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00310,2006-02-25,2024-02-25,2026-08-11,Exited,Withdrawal,60,No,,2024-12-03,20.514715947980836,17.998631074606433,2.458590006844627,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00327,,2021-02-22,,Active,,60,No,,2021-10-27,,,5.522245037645448,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00332,1988-03-19,2006-03-19,,Active,,60,Yes,1986-02-16,,38.45311430527036,17.998631074606433,20.45448323066393,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00346,2002-01-30,2020-01-30,,Active,,60,No,,2020-07-21,24.58590006844627,17.998631074606433,6.587268993839836,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00396,1988-09-19,2017-04-22,,Exited,Withdrawal,60,Yes,1988-12-20,,37.949349760438054,28.588637919233403,9.360711841204655,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00423,1996-10-01,2014-10-01,,Active,,60,No,,2014-12-02,29.916495550992472,17.998631074606433,11.917864476386036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00440,1988-12-09,,,Active,,60,Yes,1993-12-01,2021-03-12,37.72758384668035,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00451,1996-09-03,2014-09-03,,Active,,60,No,,2014-11-08,29.99315537303217,17.998631074606433,11.994524298425736,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00455,1997-06-26,2023-10-19,,Deceased,Death,60,No,,,29.182751540041068,26.313483915126625,2.869267624914442,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00501,2005-06-20,2023-06-20,,Active,,60,No,,,21.19917864476386,17.998631074606433,3.2005475701574264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00566,2005-06-24,2023-06-24,,Active,,60,No,,,21.188227241615333,17.998631074606433,3.189596167008898,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00606,1996-08-23,2014-08-23,,Active,,60,Yes,1996-11-28,2014-08-26,30.023271731690624,17.998631074606433,12.02464065708419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00653,,2018-04-20,2025-08-17,Retired,Retirement,60,No,,2019-02-19,,,7.326488706365503,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00656,1997-06-20,2015-06-20,,Active,,60,No,,2015-12-18,29.19917864476386,17.998631074606433,11.200547570157427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00657,1991-08-18,2003-08-18,,Active,,60,Yes,1994-10-12,2025-03-09,35.03901437371663,12.0,23.039014373716633,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00660,1980-07-23,,,Active,,60,Yes,1976-08-28,,46.10814510609172,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00707,1976-01-19,2017-10-01,,Exited,Withdrawal,62,Yes,1978-05-19,2017-12-15,50.61738535249829,41.700205338809035,8.917180013689254,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00763,,2018-04-25,,Active,,60,Yes,1983-02-18,,,,8.353182751540041,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00795,1977-09-11,,,Active,,60,Yes,1975-10-01,2019-12-19,48.9719370294319,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00820,1975-01-22,,,Active,,60,Yes,1977-05-05,2023-10-22,51.60848733744011,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00825,1992-05-31,2005-05-31,2023-12-14,Exited,Withdrawal,60,No,,,34.25325119780972,12.999315537303216,18.537987679671456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00831,1997-01-20,,2025-04-16,Exited,Withdrawal,60,No,,,29.61259411362081,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00870,1966-01-19,2018-10-09,,Active,,60,No,,,60.616016427104725,52.720054757015745,7.8959616700889805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
E00875,1992-07-24,,,Active,,60,No,,2021-08-06,34.105407255304584,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00886,2000-10-20,2018-10-20,,Active,,60,No,,2019-05-21,25.864476386036962,17.998631074606433,7.865845311430527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00896,1995-06-25,2023-07-16,,Deceased,Death,60,No,,,31.186858316221766,28.057494866529773,3.1293634496919918,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
E00909,2004-12-13,2022-12-13,,Active,,60,No,,,21.71663244353183,17.998631074606433,3.7180013689253935,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00928,2000-11-13,2018-11-13,,Active,,60,Yes,2003-07-25,2018-12-04,25.79876796714579,17.998631074606433,7.800136892539356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
E00950,1989-08-23,,,Active,,60,Yes,1993-01-05,,37.02395619438741,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00953,1965-04-21,2014-08-09,,Active,,60,No,,,61.36344969199179,49.30047912388775,12.062970568104038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
