employee_id,gratuity_member_flag,gratuity_plan_id,superannuation_member_flag,superannuation_plan_id,superannuation_scheme_type,dc_current_corpus,pf_member_flag,edli_eligible_flag,pf_current_balance,average_progressive_balance,gti_member_flag,gti_plan_id,gti_cover_basis,gti_sum_assured,gratuity_member_missing_plan_flag,gratuity_nonmember_has_plan_flag,invalid_gratuity_plan_flag,super_member_missing_plan_flag,super_member_missing_scheme_type_flag,super_nonmember_has_plan_flag,super_nonmember_has_scheme_type_flag,invalid_super_plan_flag,dc_member_missing_corpus_flag,db_member_has_dc_corpus_flag,pf_no_edli_yes_flag,pf_member_missing_balance_flag,edli_eligible_missing_apb_flag,gti_member_missing_plan_flag,gti_member_missing_cover_basis_flag,gti_member_missing_sum_assured_flag,gti_member_nonpositive_sum_assured_flag,gti_nonmember_has_plan_flag,gti_nonmember_has_sum_assured_flag,invalid_gti_plan_flag
E00015,Yes,,Yes,SUP_DC_01,DC,288000.0,Yes,Yes,105000.0,91000.0,Yes,GTI_GRADE_03,Grade Based,5000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00072,Yes,,No,,,,Yes,Yes,177000.0,156000.0,Yes,GTI_GRADE_03,Grade Based,2500000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00121,Yes,,Yes,SUP_DC_01,DC,565000.0,No,No,,,Yes,GTI_SAL_02,Salary Multiple,3650000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00160,Yes,,Yes,SUP_DC_01,DC,1872000.0,Yes,No,474000.0,423000.0,Yes,GTI_SAL_02,Salary Multiple,5570000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00185,Yes,,Yes,SUP_DC_01,DC,1103000.0,Yes,Yes,296000.0,256000.0,Yes,GTI_SAL_02,Salary Multiple,5450000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00243,Yes,GRAT_STD_01,Yes,,DC,79000.0,Yes,No,88000.0,82000.0,Yes,GTI_SAL_02,Salary Multiple,2920000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00293,Yes,GRAT_STD_01,Yes,,DC,270000.0,Yes,No,490000.0,428000.0,Yes,GTI_SAL_02,Salary Multiple,1500000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00317,Yes,,Yes,SUP_DC_01,DC,51000.0,No,No,,,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00476,Yes,,Yes,SUP_DC_01,DC,1118000.0,Yes,Yes,479000.0,407000.0,Yes,GTI_SAL_02,Salary Multiple,2840000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00525,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,390000.0,Yes,Yes,224000.0,196000.0,Yes,,Salary Multiple,3810000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E00649,Yes,GRAT_STD_01,Yes,,DC,3713000.0,Yes,Yes,942000.0,911000.0,No,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00700,Yes,GRAT_STD_01,Yes,,DC,2626000.0,Yes,Yes,680000.0,590000.0,No,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E00732,Yes,GRAT_ENH_02,Yes,SUP_DC_02,DC,120000.0,Yes,Yes,114000.0,102000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E00861,No,,Yes,SUP_DC_02,DC,1025000.0,Yes,Yes,506000.0,469000.0,Yes,,Salary Multiple,1840000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E00949,Yes,GRAT_STD_01,No,,,,No,Yes,,,Yes,GTI_SAL_02,Salary Multiple,1880000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E01080,Yes,,No,,,,No,No,,,Yes,GTI_SAL_02,Salary Multiple,2160000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01137,Yes,,No,,,,Yes,Yes,259000.0,247000.0,Yes,GTI_SAL_02,Salary Multiple,2910000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01150,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,176000.0,Yes,Yes,229000.0,214000.0,Yes,,Salary Multiple,1500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01163,Yes,,No,,,,Yes,Yes,257000.0,229000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01210,Yes,,Yes,PEN_DB_02,DB,,Yes,Yes,1265000.0,1157000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01238,Yes,GRAT_ENH_02,No,,,,Yes,Yes,230000.0,215000.0,Yes,,Salary Multiple,5310000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01240,Yes,,No,,,,Yes,Yes,772000.0,680000.0,Yes,GTI_SAL_02,Salary Multiple,3880000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01264,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,338000.0,Yes,Yes,100000.0,96000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01267,Yes,GRAT_STD_01,Yes,,DC,206000.0,Yes,Yes,162000.0,155000.0,Yes,GTI_SAL_02,Salary Multiple,1880000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01308,Yes,,Yes,SUP_DC_01,DC,238000.0,Yes,Yes,186000.0,172000.0,Yes,GTI_SAL_02,Salary Multiple,2750000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01340,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,243000.0,Yes,Yes,274000.0,235000.0,Yes,,Grade Based,2500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01350,Yes,GRAT_STD_01,Yes,,DC,93000.0,Yes,Yes,109000.0,102000.0,Yes,GTI_SAL_02,Salary Multiple,2470000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01438,Yes,GRAT_EXEC_03,Yes,PEN_DB_01,DB,,Yes,Yes,362000.0,303000.0,Yes,,Salary Multiple,8660000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01504,Yes,GRAT_STD_01,Yes,,DC,501000.0,Yes,No,336000.0,308000.0,Yes,GTI_SAL_02,Salary Multiple,2610000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01528,Yes,,No,,,,Yes,Yes,589000.0,499000.0,Yes,GTI_SAL_02,Salary Multiple,1760000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01606,Yes,GRAT_ENH_02,Yes,,DC,1088000.0,Yes,Yes,566000.0,490000.0,Yes,GTI_FLAT_01,Flat,2000000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01617,Yes,,Yes,SUP_DC_01,DC,117000.0,Yes,Yes,129000.0,122000.0,No,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E01734,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,48000.0,No,Yes,,,Yes,GTI_SAL_02,Salary Multiple,1750000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E01820,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,708000.0,Yes,Yes,245000.0,220000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01924,Yes,GRAT_STD_01,No,,,,Yes,Yes,734000.0,630000.0,Yes,,Salary Multiple,2060000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01953,Yes,GRAT_STD_01,Yes,PEN_DB_01,DB,,Yes,Yes,1023000.0,989000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E01988,Yes,,Yes,SUP_DC_01,DC,2763000.0,Yes,Yes,647000.0,620000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02005,Yes,,Yes,SUP_DC_02,DC,340000.0,Yes,Yes,126000.0,117000.0,No,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02126,Yes,GRAT_STD_01,Yes,PEN_DB_02,DB,,Yes,No,370000.0,348000.0,Yes,,Salary Multiple,1500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02143,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,1064000.0,Yes,Yes,378000.0,359000.0,Yes,,Salary Multiple,3930000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02212,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,12503000.0,Yes,Yes,878000.0,856000.0,Yes,,Grade Based,10000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02232,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,122000.0,Yes,Yes,174000.0,148000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02265,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,2496000.0,No,Yes,,,Yes,GTI_FLAT_01,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E02314,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,326000.0,No,Yes,,,Yes,GTI_SAL_02,Salary Multiple,4220000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E02381,Yes,GRAT_ENH_02,No,,,,Yes,Yes,351000.0,293000.0,Yes,,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02506,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,675000.0,No,No,,,Yes,,Grade Based,3000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02599,Yes,GRAT_STD_01,Yes,,DC,366000.0,Yes,Yes,161000.0,154000.0,Yes,GTI_SAL_02,Salary Multiple,3550000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02656,Yes,GRAT_STD_01,No,,,,Yes,Yes,257000.0,234000.0,Yes,,Salary Multiple,2470000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02659,Yes,GRAT_STD_01,Yes,,DC,686000.0,Yes,Yes,264000.0,229000.0,Yes,GTI_SAL_02,Salary Multiple,4130000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02736,Yes,GRAT_STD_01,Yes,,DC,627000.0,No,No,,,Yes,GTI_GRADE_03,Grade Based,5000000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02748,Yes,,Yes,SUP_DC_01,DC,252000.0,Yes,Yes,282000.0,251000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02856,Yes,GRAT_STD_01,Yes,SUP_DC_01,DC,2445000.0,Yes,Yes,845000.0,776000.0,Yes,,Salary Multiple,3730000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E02910,Yes,GRAT_ENH_02,Yes,,DC,994000.0,Yes,Yes,581000.0,483000.0,Yes,GTI_SAL_02,Salary Multiple,2350000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02922,Yes,,Yes,SUP_DC_01,DC,1367000.0,Yes,Yes,371000.0,312000.0,Yes,GTI_GRADE_03,Grade Based,4000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E02980,Yes,,Yes,PEN_DB_02,DB,,Yes,No,1202000.0,1072000.0,Yes,GTI_SAL_02,Salary Multiple,2480000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03009,Yes,GRAT_STD_01,No,,,,Yes,Yes,313000.0,287000.0,Yes,,Grade Based,2000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E03275,Yes,GRAT_STD_01,Yes,SUP_DC_02,DC,1205000.0,Yes,Yes,371000.0,335000.0,Yes,,Grade Based,4000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
E03277,Yes,,No,,,,Yes,Yes,820000.0,801000.0,Yes,GTI_SAL_02,Salary Multiple,5620000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03303,Yes,GRAT_STD_01,Yes,,DC,2399000.0,Yes,Yes,432000.0,404000.0,Yes,GTI_SAL_02,Salary Multiple,8060000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03304,Yes,GRAT_STD_01,No,,,,No,Yes,,,Yes,GTI_FLAT_01,Flat,2000000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
E03347,Yes,GRAT_ENH_02,Yes,,DC,102000.0,Yes,Yes,126000.0,111000.0,Yes,GTI_SAL_02,Salary Multiple,1500000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03446,Yes,,Yes,SUP_DC_02,DC,3084000.0,Yes,Yes,1096000.0,1022000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03491,Yes,GRAT_STD_01,Yes,,DC,444000.0,Yes,Yes,202000.0,168000.0,No,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03503,Yes,,No,,,,Yes,Yes,181000.0,169000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03522,Yes,,No,,,,Yes,Yes,155000.0,147000.0,Yes,GTI_FLAT_01,Flat,2000000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E03634,Yes,GRAT_STD_01,No,,,,Yes,Yes,813000.0,726000.0,Yes,,Salary Multiple,1800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
