dataset,column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
employee,basic_salary_monthly,9941.0,81900.51302685846,70583.61792551503,0.0,21100.0,27300.0,43000.0,63700.0,99500.0,194300.0,306160.00000000023,2471400.0,59,0.59
employee,dearness_allowance_monthly,10000.0,5492.21,5622.928244972081,0.0,100.0,300.0,1400.0,3900.0,7600.0,16400.0,26200.0,60800.0,0,0.0
employee,eligible_gratuity_wages_monthly,9961.0,86358.18692902318,59187.67022541472,18000.0,23200.0,29300.0,46500.0,68900.0,106300.0,203800.0,311000.0,507800.0,39,0.38999999999999996
employee,pensionable_salary_annual,9961.0,1016307.3988555366,703822.8888790921,216000.0,269000.0,344000.0,545000.0,809000.0,1254000.0,2416000.0,3688399.9999999995,6094000.0,39,0.38999999999999996
employee,gross_compensation_annual,10000.0,1348164.5,930866.2983728086,265000.0,356000.0,458000.0,723000.0,1071000.0,1668250.0,3181000.0,4820040.000000001,7991000.0,0,0.0
employee,retirement_age,10000.0,60.0352,0.26299786460668984,60.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,0,0.0
employee,dc_current_corpus,4845.0,1188235.294117647,1316248.5210753367,0.0,10439.999999999998,77000.0,328000.0,773000.0,1560000.0,3708800.0000000037,6171480.000000013,12677000.0,5155,51.55
employee,pf_current_balance,9550.0,387828.6910994764,262950.48977547756,5000.0,35000.0,78000.0,187000.0,335000.0,525000.0,889549.9999999993,1247020.0000000005,1932000.0,450,4.5
employee,average_progressive_balance,9550.0,350807.43455497385,238724.0067862465,4000.0,31000.0,71450.00000000004,168000.0,302000.0,475000.0,801000.0,1132550.0000000012,1851000.0,450,4.5
employee,edli_continuous_service_months,10000.0,78.5352,56.28882308345425,0.0,0.0,5.0,36.0,68.0,110.0,186.0,253.0,402.0,0,0.0
employee,gti_sum_assured,8879.0,3357121.2974434057,2041697.4996124438,1500000.0,1500000.0,1500000.0,2000000.0,2500000.0,4000000.0,7911000.000000004,10000000.0,10000000.0,1121,11.21
