employee_id,grade,basic_salary_monthly,dearness_allowance_monthly,eligible_gratuity_wages_monthly,pensionable_salary_annual,gross_compensation_annual,missing_basic_salary_flag,missing_gratuity_wage_flag,missing_pensionable_salary_flag,missing_gross_compensation_flag,nonpositive_required_salary_flag,negative_dearness_allowance_flag,basic_salary_monthly_extreme_outlier_flag,gross_compensation_annual_extreme_outlier_flag
E00084,E3,,1100.0,50300.0,604000.0,792000.0,True,False,False,False,False,False,False,False
E00146,E4,85500.0,9200.0,94700.0,,1572000.0,False,False,True,False,False,False,False,False
E00162,E5,113200.0,19100.0,132300.0,,2060000.0,False,False,True,False,False,False,False,False
E00185,E5,,1000.0,114600.0,1375000.0,1818000.0,True,False,False,False,False,False,False,False
E00244,E3,46900.0,1700.0,48600.0,,734000.0,False,False,True,False,False,False,False,False
E00313,E6,2223000.0,22000.0,145500.0,1746000.0,2363000.0,False,False,False,False,False,False,True,False
E00379,E7,0.0,36400.0,270400.0,3245000.0,4561000.0,False,False,False,False,True,False,True,False
E00385,E4,1123200.0,2200.0,,775000.0,1012000.0,False,True,False,False,False,False,True,False
E00454,E5,163500.0,25300.0,188800.0,1962000.0,3191000.0,False,False,False,False,False,False,False,True
E00455,E3,47100.0,1800.0,,565000.0,714000.0,False,True,False,False,False,False,False,False
E00509,E3,61900.0,5800.0,67700.0,,1111000.0,False,False,True,False,False,False,False,False
E00603,E5,0.0,4900.0,111300.0,1277000.0,1605000.0,False,False,False,False,True,False,True,False
E00631,E1,22700.0,3700.0,26400.0,,400000.0,False,False,True,False,False,False,False,False
E00685,E2,541800.0,0.0,30100.0,361000.0,464000.0,False,False,False,False,False,False,True,False
E00765,E4,67700.0,5600.0,,880000.0,1145000.0,False,True,False,False,False,False,False,False
E00785,E3,664200.0,3700.0,40600.0,487000.0,623000.0,False,False,False,False,False,False,True,False
E00859,E3,73200.0,1200.0,,893000.0,1193000.0,False,True,False,False,False,False,False,False
E00874,E2,0.0,6800.0,50900.0,611000.0,819000.0,False,False,False,False,True,False,True,False
E00930,E3,38100.0,600.0,,457000.0,558000.0,False,True,False,False,False,False,False,False
E00954,E3,,6400.0,58800.0,706000.0,940000.0,True,False,False,False,False,False,False,False
E01034,E5,133400.0,20700.0,,1601000.0,2596000.0,False,True,False,False,False,False,False,False
E01115,E5,73700.0,1400.0,75100.0,,1224000.0,False,False,True,False,False,False,False,False
E01128,E6,,12800.0,207200.0,2486000.0,3015000.0,True,False,False,False,False,False,False,False
E01207,E7,175100.0,3500.0,178600.0,,2778000.0,False,False,True,False,False,False,False,False
E01224,E4,55700.0,10000.0,65700.0,,1043000.0,False,False,True,False,False,False,False,False
E01310,E3,,3800.0,54500.0,654000.0,871000.0,True,False,False,False,False,False,False,False
E01357,E6,121400.0,21300.0,,1712000.0,2080000.0,False,True,False,False,False,False,False,False
E01407,E5,99600.0,3400.0,,1236000.0,1690000.0,False,True,False,False,False,False,False,False
E01504,E2,833400.0,7600.0,53900.0,647000.0,871000.0,False,False,False,False,False,False,True,False
E01517,E2,,4600.0,37400.0,449000.0,540000.0,True,False,False,False,False,False,False,False
E01542,E2,30900.0,5200.0,36100.0,,603000.0,False,False,True,False,False,False,False,False
E01590,E2,32500.0,0.0,32500.0,,544000.0,False,False,True,False,False,False,False,False
E01658,E3,52600.0,9200.0,,742000.0,931000.0,False,True,False,False,False,False,False,False
E01669,E2,43100.0,5900.0,49000.0,,703000.0,False,False,True,False,False,False,False,False
E01691,E5,,1000.0,95200.0,1142000.0,1502000.0,True,False,False,False,False,False,False,False
E01704,E1,,4400.0,29400.0,300000.0,497000.0,True,False,False,False,False,False,False,False
E01723,E2,62000.0,3200.0,65200.0,,988000.0,False,False,True,False,False,False,False,False
E01804,E2,,3100.0,46800.0,562000.0,792000.0,True,False,False,False,False,False,False,False
E01812,E3,52200.0,900.0,53100.0,,878000.0,False,False,True,False,False,False,False,False
E01817,E5,,10600.0,87800.0,1054000.0,1395000.0,True,False,False,False,False,False,False,False
E01933,E2,,4200.0,54300.0,601000.0,796000.0,True,False,False,False,False,False,False,False
E01952,E4,0.0,1400.0,60400.0,725000.0,1006000.0,False,False,False,False,True,False,False,False
E01979,E5,83400.0,1600.0,,1001000.0,1416000.0,False,True,False,False,False,False,False,False
E02028,E8,0.0,16700.0,442500.0,5110000.0,7211000.0,False,False,False,False,True,False,True,False
E02079,E2,36500.0,6200.0,,512000.0,709000.0,False,True,False,False,False,False,False,False
E02091,E6,,2900.0,128500.0,1542000.0,2154000.0,True,False,False,False,False,False,False,False
E02180,E3,47800.0,1900.0,49700.0,,845000.0,False,False,True,False,False,False,False,False
E02204,E3,,300.0,40400.0,481000.0,631000.0,True,False,False,False,False,False,False,False
E02328,E5,0.0,15300.0,115400.0,1201000.0,1725000.0,False,False,False,False,True,False,True,False
E02485,E2,766800.0,7100.0,49700.0,596000.0,835000.0,False,False,False,False,False,False,True,False
E02562,E6,,11100.0,160300.0,1924000.0,2618000.0,True,False,False,False,False,False,False,False
E02691,E2,24500.0,2800.0,27300.0,,413000.0,False,False,True,False,False,False,False,False
E02798,E6,,4300.0,127400.0,1477000.0,1985000.0,True,False,False,False,False,False,False,False
E02814,E3,,4500.0,47100.0,511000.0,788000.0,True,False,False,False,False,False,False,False
E02883,E5,109300.0,11100.0,,1445000.0,1901000.0,False,True,False,False,False,False,False,False
E02973,E2,30800.0,1000.0,,382000.0,516000.0,False,True,False,False,False,False,False,False
E03022,E4,69100.0,400.0,,834000.0,1032000.0,False,True,False,False,False,False,False,False
E03093,E3,36100.0,6000.0,42100.0,,690000.0,False,False,True,False,False,False,False,False
E03179,E4,80800.0,9400.0,90200.0,,1320000.0,False,False,True,False,False,False,False,False
E03239,E7,,5600.0,174100.0,2089000.0,2825000.0,True,False,False,False,False,False,False,False
E03296,E3,,12400.0,86400.0,1037000.0,1228000.0,True,False,False,False,False,False,False,False
E03304,E2,,200.0,39100.0,469000.0,637000.0,True,False,False,False,False,False,False,False
E03351,E8,419500.0,15500.0,,5220000.0,6665000.0,False,True,False,False,False,False,False,False
E03649,E1,0.0,400.0,28500.0,337000.0,418000.0,False,False,False,False,True,False,True,False
E03765,E4,,10600.0,91400.0,1097000.0,1549000.0,True,False,False,False,False,False,False,False
E03852,E3,,10200.0,71600.0,859000.0,1089000.0,True,False,False,False,False,False,False,False
E03979,E3,54300.0,1400.0,55700.0,,909000.0,False,False,True,False,False,False,False,False
E04084,E7,,3300.0,154900.0,1859000.0,2524000.0,True,False,False,False,False,False,False,False
E04218,E6,0.0,3300.0,145100.0,1741000.0,2065000.0,False,False,False,False,True,False,True,False
E04399,E5,108400.0,9800.0,118200.0,,1854000.0,False,False,True,False,False,False,False,False
E04412,E2,,3300.0,36500.0,438000.0,539000.0,True,False,False,False,False,False,False,False
E04475,E3,,1800.0,50600.0,607000.0,747000.0,True,False,False,False,False,False,False,False
E04561,E4,69400.0,10300.0,79700.0,,1246000.0,False,False,True,False,False,False,False,False
E04696,E3,63400.0,6200.0,,835000.0,1147000.0,False,True,False,False,False,False,False,False
