exposure_year,event_type,event_count
2022,Death,6
2022,Disability,12
2022,Early Retirement,16
2022,Retirement,25
2022,Withdrawal,101
2023,Death,6
2023,Disability,12
2023,Early Retirement,21
2023,Retirement,19
2023,Withdrawal,138
2024,Death,13
2024,Disability,9
2024,Early Retirement,24
2024,Retirement,32
2024,Withdrawal,140
2025,Death,19
2025,Disability,9
2025,Early Retirement,24
2025,Retirement,54
2025,Withdrawal,158
2026,Death,14
2026,Disability,5
2026,Early Retirement,18
2026,Retirement,30
2026,Withdrawal,130
