dataset,column,value,count,pct
plan_rules,product_type,Gratuity,54,36.486486486486484
plan_rules,product_type,GTI,40,27.027027027027028
plan_rules,product_type,DB_Pension,28,18.91891891891892
plan_rules,product_type,DC_Superannuation,16,10.81081081081081
plan_rules,product_type,EDLI,10,6.756756756756757
plan_rules,rule_category,Demographic,53,35.810810810810814
plan_rules,rule_category,Benefit,31,20.945945945945947
plan_rules,rule_category,Financial,18,12.162162162162163
plan_rules,rule_category,Eligibility,16,10.81081081081081
plan_rules,rule_category,Statutory,9,6.081081081081082
plan_rules,rule_category,Contribution,8,5.405405405405405
plan_rules,rule_category,Credibility,6,4.054054054054054
plan_rules,rule_category,Pricing,3,2.027027027027027
plan_rules,rule_category,Underwriting,3,2.027027027027027
plan_rules,rule_category,Governance,1,0.6756756756756757
plan_rules,value_type,Numeric,113,76.35135135135135
plan_rules,value_type,Text,28,18.91891891891892
plan_rules,value_type,Boolean,7,4.72972972972973
plan_rules,unit,decimal_rate,30,20.27027027027027
plan_rules,unit,INR,18,12.162162162162163
plan_rules,unit,intensity,16,10.81081081081081
plan_rules,unit,model,14,9.45945945945946
plan_rules,unit,years,12,8.108108108108109
plan_rules,unit,column,8,5.405405405405405
plan_rules,unit,multiplier,8,5.405405405405405
plan_rules,unit,days,7,4.72972972972973
plan_rules,unit,flag,7,4.72972972972973
plan_rules,unit,shape,5,3.3783783783783785
plan_rules,unit,probability,5,3.3783783783783785
plan_rules,unit,basis,4,2.7027027027027026
plan_rules,unit,months,3,2.027027027027027
plan_rules,unit,z_score,3,2.027027027027027
plan_rules,unit,relative_tolerance,3,2.027027027027027
plan_rules,unit,frequency,2,1.3513513513513513
plan_rules,unit,multiple,2,1.3513513513513513
plan_rules,unit,INR_per_month,1,0.6756756756756757
plan_rules,formula_template,gompertz_makeham,18,12.162162162162163
plan_rules,formula_template,weibull_withdrawal,13,8.783783783783784
plan_rules,formula_template,gti_expected_claims,12,8.108108108108109
plan_rules,formula_template,edli_effective_date_rule,10,6.756756756756757
plan_rules,formula_template,gratuity_days_over_divisor,9,6.081081081081082
plan_rules,formula_template,gratuity_eligibility,9,6.081081081081082
plan_rules,formula_template,gti_grade_based,9,6.081081081081082
plan_rules,formula_template,dc_contribution,8,5.405405405405405
plan_rules,formula_template,salary_projection,7,4.72972972972973
plan_rules,formula_template,limited_fluctuation_credibility,6,4.054054054054054
plan_rules,formula_template,present_value_discounting,5,3.3783783783783785
plan_rules,formula_template,bernoulli_disability,5,3.3783783783783785
plan_rules,formula_template,gti_salary_multiple,5,3.3783783783783785
plan_rules,formula_template,dc_accumulation,4,2.7027027027027026
plan_rules,formula_template,db_pension_accrual,4,2.7027027027027026
plan_rules,formula_template,qualifying_service_rounding,3,2.027027027027027
plan_rules,formula_template,logistic_early_retirement,3,2.027027027027027
plan_rules,formula_template,gti_gross_premium,3,2.027027027027027
plan_rules,formula_template,gti_underwriting,3,2.027027027027027
plan_rules,formula_template,dc_retirement,2,1.3513513513513513
plan_rules,formula_template,spouse_pension,2,1.3513513513513513
plan_rules,formula_template,db_pension_retirement,2,1.3513513513513513
plan_rules,formula_template,pension_escalation,2,1.3513513513513513
plan_rules,formula_template,pensioner_survival,2,1.3513513513513513
plan_rules,formula_template,gti_flat_cover,2,1.3513513513513513
plan_rules,dashboard_editable_flag,Yes,105,70.94594594594594
plan_rules,dashboard_editable_flag,No,43,29.054054054054053
