dataset,metric,value
employee_census,raw_rows,10000
employee_census,clean_rows,9950
employee_census,duplicate_rows_removed,50
employee_census,date_of_birth_imputed_flag,119
employee_census,date_of_joining_reconstructed_flag,349
employee_census,exit_date_reconstructed_flag,82
employee_census,employment_status_reconciled_flag,15
employee_census,exit_reason_reconciled_flag,5
employee_census,basic_salary_reconstructed_flag,88
employee_census,gratuity_wage_reconstructed_flag,39
employee_census,pensionable_salary_reconstructed_flag,39
employee_census,gross_compensation_reconstructed_flag,0
employee_census,gratuity_plan_id_imputed_flag,58
employee_census,superannuation_plan_id_imputed_flag,43
employee_census,gti_plan_id_reconstructed_flag,53
employee_census,edli_eligibility_reconciled_flag,12
salary_history,basic_salary_reconstructed_flag,177
salary_history,gratuity_wage_reconstructed_flag,118
salary_history,pensionable_salary_reconstructed_flag,118
salary_history,edli_wage_reconstructed_flag,118
salary_history,unresolved_large_salary_movement_flag,39
claims_history,exposure_start_reconstructed_flag,53
claims_history,exposure_end_reconstructed_flag,25
claims_history,unresolved_claim_amount_flag,1
governance,audit_log_records,1561
governance,unresolved_exception_records,89
