dataset,record_key,issue,severity,note
employee_census,E00033,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E00147,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E00184,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E00870,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E00953,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E01373,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E01390,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E01820,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E01953,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E02759,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E02813,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E02899,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E02990,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03064,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03148,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03546,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03673,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03690,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03788,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E03935,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04094,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04306,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04365,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04491,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04579,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04747,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04860,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04921,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E04925,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E05087,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E05268,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E05489,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E05616,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E05763,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06054,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06337,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06358,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06494,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06899,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06903,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E06929,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E07025,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E07712,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E08230,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E08352,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E09067,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E09110,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E09292,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
employee_census,E09708,active_past_recorded_retirement_age,Review,"Do not auto-retire; confirm extension, stale status or applicable retirement rule"
salary_history,E00350|2023-04-01,large_year_on_year_salary_movement,Review,"Preserved rather than winsorized; verify promotion, correction or genuine pay movement"
salary_history,E00746|2025-04-01,large_year_on_year_salary_movement,Review,"Preserved rather than winsorized; verify promotion, correction or genuine pay movement"
