experience_year,employee_year_exposure,exposed_employees,event_count,event_type,crude_observed_rate,rate_per_1000_employee_years
2022,6615.5564681724845,7171,6,Death,0.0009069531835856993,0.9069531835856993
2023,7400.396988364134,7979,6,Death,0.000810767315514827,0.8107673155148271
2024,8235.73169062286,8901,13,Death,0.0015784875574324133,1.5784875574324133
2025,8888.262833675564,9259,19,Death,0.0021376505573185134,2.1376505573185134
2026,5995.657768651608,9111,14,Death,0.002335023201824364,2.335023201824364
2022,6615.5564681724845,7171,101,Withdrawal,0.015267045257025939,15.267045257025938
2023,7400.396988364134,7979,138,Withdrawal,0.018647648256841023,18.647648256841023
2024,8235.73169062286,8901,141,Withdrawal,0.017120518892151562,17.120518892151562
2025,8888.262833675564,9259,158,Withdrawal,0.017776252002964482,17.776252002964483
2026,5995.657768651608,9111,130,Withdrawal,0.021682358302654806,21.682358302654805
2022,6615.5564681724845,7171,12,Disability,0.0018139063671713986,1.8139063671713986
2023,7400.396988364134,7979,12,Disability,0.001621534631029654,1.6215346310296541
2024,8235.73169062286,8901,9,Disability,0.00109279907822244,1.09279907822244
2025,8888.262833675564,9259,9,Disability,0.0010125713166245591,1.0125713166245591
2026,5995.657768651608,9111,5,Disability,0.0008339368577944157,0.8339368577944156
2022,6615.5564681724845,7171,16,Early Retirement,0.0024185418228951983,2.4185418228951985
2023,7400.396988364134,7979,21,Early Retirement,0.002837685604301895,2.8376856043018948
2024,8235.73169062286,8901,24,Early Retirement,0.0029141308752598403,2.9141308752598403
2025,8888.262833675564,9259,24,Early Retirement,0.0027001901776654907,2.700190177665491
2026,5995.657768651608,9111,18,Early Retirement,0.0030021726880598964,3.0021726880598965
2022,6615.5564681724845,7171,25,Retirement,0.0037789715982737473,3.7789715982737473
2023,7400.396988364134,7979,19,Retirement,0.0025674298324636193,2.567429832463619
2024,8235.73169062286,8901,32,Retirement,0.003885507833679787,3.885507833679787
2025,8888.262833675564,9259,54,Retirement,0.006075427899747354,6.075427899747354
2026,5995.657768651608,9111,31,Retirement,0.005170408518325377,5.170408518325377
All,37135.605749486655,9950,58,Death,0.0015618433799427592,1.5618433799427591
All,37135.605749486655,9950,668,Withdrawal,0.017988127203478674,17.988127203478676
All,37135.605749486655,9950,47,Disability,0.001265631704436374,1.2656317044363738
All,37135.605749486655,9950,103,Early Retirement,0.0027736184161052447,2.773618416105245
All,37135.605749486655,9950,161,Retirement,0.004335461796048004,4.335461796048004
