segment_dimension,segment_value,employee_count,active_employee_count,small_cell_review_flag
age_band,<25,795,705,False
age_band,25-34,2925,2611,False
age_band,35-44,4187,3728,False
age_band,45-54,1776,1615,False
age_band,55-59,208,185,False
age_band,60+,59,54,False
service_band,<1,426,231,False
service_band,1-4,3975,3531,False
service_band,5-9,3603,3319,False
service_band,10-19,1818,1695,False
service_band,20-29,121,115,False
service_band,30+,7,7,True
salary_band,<5L,776,688,False
salary_band,5L-10L,3759,3350,False
salary_band,10L-20L,3667,3270,False
salary_band,20L-40L,1546,1406,False
salary_band,40L-60L,160,145,False
salary_band,60L+,42,39,False
occupation_class,Factory,2966,2644,False
occupation_class,Field,1729,1549,False
occupation_class,Laboratory,863,770,False
occupation_class,Management,1272,1161,False
occupation_class,Office,3120,2774,False
grade,E1,820,723,False
grade,E2,1471,1300,False
grade,E3,2118,1887,False
grade,E4,2119,1888,False
grade,E5,1690,1530,False
grade,E6,1077,969,False
grade,E7,511,470,False
grade,E8,144,131,False
work_location,Ahmedabad,875,790,False
work_location,Bengaluru,1421,1266,False
work_location,Chennai,1076,988,False
work_location,Delhi NCR,1321,1168,False
work_location,Hyderabad,1107,988,False
work_location,Kolkata,793,725,False
work_location,Mumbai,1802,1604,False
work_location,Pune,1555,1369,False
