plan_id,product_type,rule_category,parameter_name,base_parameter_value,selected_parameter_value,value_type,unit,formula_template,effective_dashboard_editable_flag,statutory_locked_flag,input_control_type,formula_template_editable_flag,source_reference
GRAT_STD_01,Gratuity,Benefit,benefit_days,15,15,Numeric,days,gratuity_days_over_divisor,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Benefit,divisor_days,26,26,Numeric,days,gratuity_days_over_divisor,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Eligibility,vesting_years_resignation,5,5,Numeric,years,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Eligibility,death_vesting_waiver,True,True,Boolean,flag,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Eligibility,disability_vesting_waiver,True,True,Boolean,flag,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Eligibility,part_year_rounding_threshold_months,6,6,Numeric,months,qualifying_service_rounding,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_STD_01,Gratuity,Financial,salary_escalation_rate,0.06,0.06,Numeric,decimal_rate,salary_projection,True,False,number_input,False,Synthetic valuation assumption; dashboard scenario input
GRAT_STD_01,Gratuity,Financial,discount_rate,0.07,0.07,Numeric,decimal_rate,present_value_discounting,True,False,number_input,False,Synthetic valuation assumption; governed under applicable actuarial/accounting basis
GRAT_STD_01,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Gompertz-Makeham,Text,model,gompertz_makeham,False,False,locked_display,False,Book Chapter 7; illustrative model family
GRAT_STD_01,Gratuity,Demographic,mortality_A,0.0002,0.0002,Numeric,intensity,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,mortality_B,1e-05,1e-05,Numeric,intensity,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,mortality_c,1.1,1.1,Numeric,multiplier,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,withdrawal_model,Weibull,Weibull,Text,model,weibull_withdrawal,False,False,locked_display,False,Book Chapter 8; illustrative model family
GRAT_STD_01,Gratuity,Demographic,weibull_eta,15,15,Numeric,years,weibull_withdrawal,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,weibull_k,0.75,0.75,Numeric,shape,weibull_withdrawal,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,disability_annual_q,0.0015,0.0015,Numeric,probability,bernoulli_disability,True,False,number_input,False,Synthetic model parameter
GRAT_STD_01,Gratuity,Demographic,early_retirement_model,Logistic,Logistic,Text,model,logistic_early_retirement,False,False,locked_display,False,Book Chapter 10; illustrative model family
GRAT_ENH_02,Gratuity,Benefit,benefit_days,20,20,Numeric,days,gratuity_days_over_divisor,True,False,number_input,False,Synthetic enhanced employer scheme; statutory minimum remains floor
GRAT_ENH_02,Gratuity,Benefit,divisor_days,26,26,Numeric,days,gratuity_days_over_divisor,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Benefit,salary_basis,eligible_gratuity_wages_monthly,eligible_gratuity_wages_monthly,Text,column,gratuity_days_over_divisor,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Eligibility,vesting_years_resignation,5,5,Numeric,years,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Eligibility,death_vesting_waiver,True,True,Boolean,flag,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Eligibility,disability_vesting_waiver,True,True,Boolean,flag,gratuity_eligibility,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Eligibility,part_year_rounding_threshold_months,6,6,Numeric,months,qualifying_service_rounding,False,False,locked_display,False,https://www.indiacode.nic.in/handle/123456789/22074
GRAT_ENH_02,Gratuity,Financial,salary_escalation_rate,0.062,0.062,Numeric,decimal_rate,salary_projection,True,False,number_input,False,Synthetic valuation assumption; dashboard scenario input
GRAT_ENH_02,Gratuity,Financial,discount_rate,0.07,0.07,Numeric,decimal_rate,present_value_discounting,True,False,number_input,False,Synthetic valuation assumption; governed under applicable actuarial/accounting basis
GRAT_ENH_02,Gratuity,Demographic,mortality_model,Gompertz-Makeham,Gompertz-Makeham,Text,model,gompertz_makeham,False,False,locked_display,False,Book Chapter 7; illustrative model family
GRAT_ENH_02,Gratuity,Demographic,mortality_A,0.0002,0.0002,Numeric,intensity,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
GRAT_ENH_02,Gratuity,Demographic,mortality_B,1e-05,1e-05,Numeric,intensity,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
GRAT_ENH_02,Gratuity,Demographic,mortality_c,1.1,1.1,Numeric,multiplier,gompertz_makeham,True,False,number_input,False,Synthetic model parameter
