projection_period,expected_active_at_start,expected_deaths,expected_withdrawals,expected_disabilities,expected_early_retirements,expected_active_at_end,decrement_engine_version
1,8651.0,6.0610458501900295,533.5374652844632,12.542436832390857,19.796628875316827,8079.062423157639,P06-C01
2,8060.912778723165,6.006888672107815,472.22524236634956,11.698231478460405,18.179419677911902,7552.802996528335,P06-C01
3,7529.4220214613715,5.966192389650398,424.1257533525664,10.933940188212947,16.73294852419206,7071.6631870067495,P06-C01
4,7042.006918239259,5.925370343251268,383.96542409077233,10.229725181939205,15.420620637036656,6626.465777986259,P06-C01
5,6589.948846721206,5.889249505163138,349.49288498033513,9.579104948050464,14.225603217397895,6210.762004070259,P06-C01
6,6176.414962388594,5.861084503640749,319.38914101859683,8.976454903891016,13.133852716976135,5829.05442924549,P06-C01
7,5784.785795461589,5.8137469753885185,292.3955638470613,8.403919236516389,12.118883199866898,5466.053682202756,P06-C01
8,5413.393577554251,5.748360960104193,267.9641970884143,7.859623496131127,11.174158168179444,5120.647237841423,P06-C01
9,5061.8069652639915,5.686730120015974,245.968662152652,7.348809983909636,10.302281920053968,4792.500481087361,P06-C01
10,4727.695476067816,5.57697424509777,225.3180116247992,6.847302920803073,9.470766370880561,4480.482420906236,P06-C01
11,4394.8593222981535,5.450347267798201,206.2013949894697,6.3672448897073695,8.690886750913208,4168.149448400265,P06-C01
12,4088.9970952115323,5.29689619640805,188.3347897511892,5.9025223016300865,7.953633265667767,3881.509253696637,P06-C01
13,3779.3438696161584,5.0991123843516055,171.35170736345012,5.4452004356313095,7.247824998791375,3590.2000244339342,P06-C01
14,3473.397728130144,4.903581250276347,155.76015148140664,5.014966187440747,6.594357387976545,3301.1246718230436,P06-C01
15,3199.5678317182296,4.693683764277272,141.22996960453216,4.602780596928571,5.981238629659691,3043.060159122832,P06-C01
16,2926.443989399599,4.445304776142368,127.31084391796205,4.1974144638597375,5.3932480512031775,2785.097178190432,P06-C01
17,2664.504817217696,4.186865683641951,114.30994693207262,3.8112971714191732,4.842779171929544,2537.353928258633,P06-C01
18,2415.0418029325865,3.9213903465953055,102.22870807701264,3.4448246848757575,4.329868630544433,2301.1170111935585,P06-C01
19,2173.273611872261,3.623541759766559,90.66481368561557,3.0859714672999803,3.839393916873233,2072.0598910427057,P06-C01
20,1945.9190157073333,3.3297871270169783,80.06625702165887,2.7511349997899317,3.388921833642699,1856.3829147252247,P06-C01
21,1722.573266987847,3.0238249496102045,70.1506099481464,2.432064367756738,2.967898193955343,1643.9988695283785,P06-C01
22,1521.7065174124702,2.7076733992465645,60.852860514007375,2.1279337413891284,2.573745818617059,1453.4443039392102,P06-C01
23,1328.0517576939649,2.418192125305705,52.6175508415865,1.8549572777463494,2.2238382015479266,1268.9372192477783,P06-C01
24,1147.1886388271967,2.149101618672855,45.280580271808425,1.6086024156032597,1.9118819094655184,1096.2384726116466,P06-C01
25,1001.1017327559815,1.8848329976071063,38.55135833091149,1.379740467315417,1.626251187812876,957.6595497723347,P06-C01
26,837.945965200621,1.6098309987480417,32.24704702705221,1.1618840113973516,1.3598275418893238,801.5673756215341,P06-C01
27,710.5506877563784,1.3866139528520494,27.054533903533677,0.9813415448976311,1.1396446672529301,679.9885536878421,P06-C01
28,602.0320822665278,1.1925974252652125,22.622779207619296,0.8259504788316071,0.9516064145266935,576.439148740285,P06-C01
29,502.0324904556378,1.0171408382510791,18.766081574574326,0.6892955291340609,0.7880986192587749,480.77187389441957,P06-C01
30,417.41890435036544,0.8504357246044005,15.319182370246205,0.5658198391821212,0.642400589687723,400.041065826645,P06-C01
31,338.364651273131,0.6979003833255643,12.313082801540135,0.4572587414929143,0.515707073153241,324.38070227361914,P06-C01
32,273.7287665882604,0.5722411115104591,9.861318912843897,0.3681588669019552,0.4123204751168817,262.5147272218872,P06-C01
33,218.89421559305433,0.45967073563129845,7.768410450572709,0.29125119935059907,0.32427433755462737,210.0506088699451,P06-C01
34,171.6519723123273,0.37301564414086114,6.145352180883738,0.23133823346608814,0.25590607635961476,164.646360177477,P06-C01
35,136.42395160971537,0.2978834730145156,4.7785754812776835,0.180747739114318,0.19850271105198694,130.96824220525687,P06-C01
36,106.27825584430808,0.241359656217205,3.7387175192226967,0.1420666064527491,0.15477389858966994,102.00133816382575,P06-C01
37,83.18429473118675,0.1930761776525006,2.8778297797267145,0.10979381127345154,0.11866244323665548,79.88493251929744,P06-C01
38,64.17026281186497,0.15306735069876506,2.180367988192658,0.08351790854124534,0.08948189337183544,61.663827671060474,P06-C01
39,48.252379451710205,0.12267514479788132,1.647689317764006,0.06341040470825805,0.0672181303229277,46.351386454117126,P06-C01
40,36.239678472715724,0.08843324612670894,1.1096262667893786,0.04291430855690109,0.044927012833004716,34.953777638409726,P06-C01
41,13.719688476591097,0.009171387503676246,0.11082782242455763,0.004298666777078019,0.004449894272734984,13.59094070561305,P06-C01
