experience_year,event_type,exposure_rows,employee_year_exposure,observed_events,expected_events,actual_to_expected,plan_mapping_method,decrement_engine_version
2022,Death,7001,6455.865845311429,6,3.496437422870929,1.71603242796589,Current cleaned gratuity_plan_id,P06-C01
2022,Withdrawal,7001,6455.865845311429,100,492.7665899506492,0.20293583623438238,Current cleaned gratuity_plan_id,P06-C01
2022,Disability,7001,6455.865845311429,12,9.315974587496555,1.2881099972198091,Current cleaned gratuity_plan_id,P06-C01
2022,Early Retirement,7001,6455.865845311429,16,15.355856920751554,1.0419477130174328,Current cleaned gratuity_plan_id,P06-C01
2023,Death,7790,7221.9849418206695,5,4.148679396360212,1.2052027940232457,Current cleaned gratuity_plan_id,P06-C01
2023,Withdrawal,7790,7221.9849418206695,135,533.5867614729001,0.2530047777560096,Current cleaned gratuity_plan_id,P06-C01
2023,Disability,7790,7221.9849418206695,12,10.432553809894493,1.1502456846777922,Current cleaned gratuity_plan_id,P06-C01
2023,Early Retirement,7790,7221.9849418206695,21,17.019642789194233,1.2338684342619044,Current cleaned gratuity_plan_id,P06-C01
2024,Death,8680,8035.066392881588,11,4.872898774644516,2.25738323505447,Current cleaned gratuity_plan_id,P06-C01
2024,Withdrawal,8680,8035.066392881588,137,583.4895685408127,0.234794257492227,Current cleaned gratuity_plan_id,P06-C01
2024,Disability,8680,8035.066392881588,8,11.615119905303164,0.6887574183670206,Current cleaned gratuity_plan_id,P06-C01
2024,Early Retirement,8680,8035.066392881588,24,18.78220026136355,1.2778055640994241,Current cleaned gratuity_plan_id,P06-C01
2025,Death,9034,8671.581108829567,19,5.5349294617612586,3.432744740698836,Current cleaned gratuity_plan_id,P06-C01
2025,Withdrawal,9034,8671.581108829567,155,603.5528869890269,0.25681262295547275,Current cleaned gratuity_plan_id,P06-C01
2025,Disability,9034,8671.581108829567,9,12.543030231176639,0.7175299615901289,Current cleaned gratuity_plan_id,P06-C01
2025,Early Retirement,9034,8671.581108829567,24,20.120913115084157,1.1927888094704702,Current cleaned gratuity_plan_id,P06-C01
2026,Death,8888,5847.077344284738,14,4.003906176733962,3.4965854298364154,Current cleaned gratuity_plan_id,P06-C01
2026,Withdrawal,8888,5847.077344284738,130,387.70863879222304,0.3353033360437148,Current cleaned gratuity_plan_id,P06-C01
2026,Disability,8888,5847.077344284738,5,8.569783476514846,0.5834453126735702,Current cleaned gratuity_plan_id,P06-C01
2026,Early Retirement,8888,5847.077344284738,18,13.581321216994807,1.3253496999596723,Current cleaned gratuity_plan_id,P06-C01
All,Death,41393,36231.57563312799,55,22.056851232370878,2.4935562841935206,Current cleaned gratuity_plan_id,P06-C01
All,Withdrawal,41393,36231.57563312799,657,2601.104445745612,0.2525850129065731,Current cleaned gratuity_plan_id,P06-C01
All,Disability,41393,36231.57563312799,46,52.4764620103857,0.8765834859616882,Current cleaned gratuity_plan_id,P06-C01
All,Early Retirement,41393,36231.57563312799,103,84.8599343033883,1.213764786003227,Current cleaned gratuity_plan_id,P06-C01
