plan_id,scenario_active_exit_pv,scenario_retirement_pv,gratuity_dbo,scenario,salary_rate_shift,discount_rate_shift,base_gratuity_dbo,change_vs_base,change_vs_base_pct,gratuity_engine_version
GRAT_ENH_02,346960043.0189848,218800455.29408005,565760498.3130648,Base,0.0,0.0,565760498.3130648,0.0,0.0,P07-C01
GRAT_EXEC_03,179616812.78664777,166492999.65929115,346109812.44593894,Base,0.0,0.0,346109812.44593894,0.0,0.0,P07-C01
GRAT_STD_01,1285070270.94629,775331546.8899312,2060401817.8362212,Base,0.0,0.0,2060401817.8362212,0.0,0.0,P07-C01
ALL_GRATUITY_PLANS,1811647126.7519226,1160625001.8433022,2972272128.595225,Base,0.0,0.0,2972272128.595225,0.0,0.0,P07-C01
GRAT_ENH_02,360661028.70387536,235761861.64899144,596422890.3528668,Discount -50bps,0.0,-0.005,565760498.3130648,30662392.039801955,5.419677077354887,P07-C01
GRAT_EXEC_03,185922559.8050284,176617788.5626048,362540348.3676332,Discount -50bps,0.0,-0.005,346109812.44593894,16430535.921694279,4.747203150809446,P07-C01
GRAT_STD_01,1336487614.2898057,836020469.1161081,2172508083.405914,Discount -50bps,0.0,-0.005,2060401817.8362212,112106265.56969261,5.440990422315954,P07-C01
ALL_GRATUITY_PLANS,1883071202.7987094,1248400119.3277044,3131471322.126414,Discount -50bps,0.0,-0.005,2972272128.595225,159199193.53118896,5.3561446140677145,P07-C01
GRAT_ENH_02,334113413.0674294,203356141.4677358,537469554.5351652,Discount +50bps,0.0,0.005,565760498.3130648,-28290943.777899623,-5.000515918353276,P07-C01
GRAT_EXEC_03,173664879.66192997,157139449.2249965,330804328.8869265,Discount +50bps,0.0,0.005,346109812.44593894,-15305483.559012473,-4.422146673869043,P07-C01
GRAT_STD_01,1236917713.984709,720184025.5805515,1957101739.5652604,Discount +50bps,0.0,0.005,2060401817.8362212,-103300078.27096081,-5.013588969720663,P07-C01
ALL_GRATUITY_PLANS,1744696006.7140684,1080679616.273284,2825375622.9873524,Discount +50bps,0.0,0.005,2972272128.595225,-146896505.6078725,-4.942229353585457,P07-C01
GRAT_ENH_02,321652771.5191467,188813952.93583563,510466724.4549823,Salary -100bps,-0.01,0.0,565760498.3130648,-55293773.85808253,-9.773353569744208,P07-C01
GRAT_EXEC_03,167906235.3488252,148282841.19470808,316189076.54353327,Salary -100bps,-0.01,0.0,346109812.44593894,-29920735.90240568,-8.644867850165094,P07-C01
GRAT_STD_01,1190097607.9471183,668175569.6645576,1858273177.6116757,Salary -100bps,-0.01,0.0,2060401817.8362212,-202128640.22454548,-9.81015637215927,P07-C01
ALL_GRATUITY_PLANS,1679656614.8150902,1005272363.7951013,2684928978.6101913,Salary -100bps,-0.01,0.0,2972272128.595225,-287343149.9850335,-9.667457673898774,P07-C01
GRAT_ENH_02,375236050.77455753,254342976.43790185,629579027.2124593,Salary +100bps,0.01,0.0,565760498.3130648,63818528.89939451,11.280131626312375,P07-C01
GRAT_EXEC_03,192520803.51965556,187442439.635437,379963243.1550926,Salary +100bps,0.01,0.0,346109812.44593894,33853430.70915365,9.781124224682717,P07-C01
GRAT_STD_01,1391467012.24877,902909639.7771746,2294376652.0259447,Salary +100bps,0.01,0.0,2060401817.8362212,233974834.1897235,11.355786631727863,P07-C01
ALL_GRATUITY_PLANS,1959223866.542983,1344695055.8505135,3303918922.3934965,Salary +100bps,0.01,0.0,2972272128.595225,331646793.79827166,11.158022531234945,P07-C01
