scenario,plan_id,db_pension_liability
Base,PEN_DB_01,1053086979.7439562
Base,PEN_DB_02,605338202.4055783
Discount -50bp,PEN_DB_01,1200784744.7995927
Discount -50bp,PEN_DB_02,692065550.1496323
Discount +50bp,PEN_DB_01,927297002.8337386
Discount +50bp,PEN_DB_02,531780999.07727027
Salary -100bp,PEN_DB_01,928176822.9786485
Salary -100bp,PEN_DB_02,533560633.71744806
Salary +100bp,PEN_DB_01,1198741999.089131
Salary +100bp,PEN_DB_02,689579327.1580185
Pension Escalation -50bp,PEN_DB_01,989344872.6305225
Pension Escalation -50bp,PEN_DB_02,567676246.0180742
Pension Escalation +50bp,PEN_DB_01,1123455204.590277
Pension Escalation +50bp,PEN_DB_02,647004650.2290847
